#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10000,4830.000000015086,-430570.99027957907,324.68445694634664,0
20000,4860.000000012103,-431328.65002324944,324.71224932380227,222
30000,4890.0000000091195,-429842.5039387846,326.00602702372737,222
40000,4920.000000006136,-430251.760583173,325.24388637149775,221
50000,4950.000000003153,-430232.1696398554,324.4173783064548,220
60000,4980.00000000017,-430807.0514343532,325.50127760264843,220
70000,5009.999999997187,-429985.9626915392,325.16642091779215,220
80000,5039.999999994204,-430725.0107776965,323.9173021987179,220
90000,5069.999999991221,-430878.16956494306,324.7383848966722,220
100000,5099.9999999882375,-430052.9799812813,323.9579771090301,219
110000,5129.999999985254,-429060.966718263,324.9133401153891,219
120000,5159.999999982271,-430544.5312034192,321.7274838042974,219
130000,5189.999999979288,-429237.66520733456,320.96673587573224,219
140000,5219.999999976305,-429772.9395284634,323.68298819630616,219
150000,5249.999999973322,-430851.8974057927,321.92862525816014,219
160000,5279.999999970339,-429323.16656440357,320.99313778342247,219
170000,5309.9999999673555,-430596.2288181938,324.2502789606709,219
180000,5339.999999964372,-430538.83654300286,323.07744762223984,219
190000,5369.999999961389,-430754.9963499338,324.1311065602911,219
200000,5399.999999958406,-429580.36179873906,323.5860916653697,219
210000,5429.999999955423,-430024.8461218111,322.35608200022193,219
220000,5459.99999995244,-429554.84273546655,325.4141721790019,219
230000,5489.999999949457,-430958.2405520682,321.49385936437545,219
240000,5519.9999999464735,-428046.6442266004,323.7543218318629,219
250000,5549.99999994349,-431162.0460279181,323.6625883519732,218
260000,5579.999999940507,-430202.411982839,323.7221867636839,218
270000,5609.999999937524,-430871.3545958381,323.1938315983113,218
280000,5639.999999934541,-429464.11728152307,322.0286175484789,218
290000,5669.999999931558,-429466.230279512,322.2983506965634,218
300000,5699.999999928575,-430675.1771218369,324.9210888001051,218
310000,5729.9999999255915,-429184.8594297853,324.42605761729834,218
320000,5759.999999922608,-429129.4757771946,324.57778632631494,218
330000,5789.999999919625,-428889.9352787216,320.17918047847473,218
340000,5819.999999916642,-429599.2817170629,323.8186143009893,218
350000,5849.999999913659,-430920.54718689877,323.160323875759,218
360000,5879.999999910676,-430779.8401134359,324.33986246146463,218
370000,5909.999999907693,-431229.7446303014,321.3797244801992,218
380000,5939.9999999047095,-430097.5254413688,321.7406204735726,218
390000,5969.999999901726,-429080.03975014994,321.88099428961465,218
400000,5999.999999898743,-429803.49370337627,324.90266264923014,218
410000,6029.99999989576,-429518.9651366018,322.95594413640976,218
420000,6059.999999892777,-430563.1213990762,324.62654993382216,218
430000,6089.999999889794,-429404.73943910445,326.9142536155316,218
440000,6119.999999886811,-431064.49996447354,321.9573086296766,218
450000,6149.9999998838275,-430404.9811016384,322.98386402055934,218
460000,6179.999999880844,-430747.8759132887,325.0625857082457,218
470000,6209.999999877861,-430713.4438293048,323.42742084785334,218
480000,6239.999999874878,-429246.4296059117,324.99241036085147,218
490000,6269.999999871895,-430128.4252367639,326.18795495742893,218
500000,6299.999999868912,-428486.01383381826,323.7033484050558,218
510000,6329.999999865929,-429426.741085608,323.4126401745946,218
520000,6359.9999998629455,-428860.1706360744,325.3857868441749,218
530000,6389.999999859962,-430985.2335746675,322.9732193099993,218
540000,6419.999999856979,-430783.77380110184,322.7990509711792,218
550000,6449.999999853996,-430359.24225540226,321.94755969643353,218
560000,6479.999999851013,-429879.8760312882,324.96462980021454,218
570000,6509.99999984803,-430417.2686724169,322.76054106447225,218
580000,6539.999999845047,-431299.1082920481,322.82121886154147,218
590000,6569.9999998420635,-431132.2114842045,325.955267538426,218
600000,6599.99999983908,-429959.58359685633,323.6989029185455,218
610000,6629.999999836097,-429985.78888162365,323.9299102414845,218
620000,6659.999999833114,-429812.3364190557,322.18943123741604,218
630000,6689.999999830131,-429221.5400272743,326.7542548950277,218
640000,6719.999999827148,-430161.68279432505,322.3394140630889,218
650000,6749.999999824165,-429696.1428743198,325.8740075228589,218
660000,6779.9999998211815,-427517.9752262442,324.8053569604769,218
670000,6809.999999818198,-430300.2956138458,324.28913265363616,218
680000,6839.999999815215,-430705.50513690966,321.4709884324776,218
690000,6869.999999812232,-430617.2508307623,324.2143601297354,218
700000,6899.999999809249,-430329.7233783151,323.1496669744772,217
710000,6929.999999806266,-430043.08693836816,324.8724585502392,217
720000,6959.999999803283,-429600.371827662,319.3812142611854,217
730000,6989.9999998002995,-430986.96367244376,321.7423038203484,217
740000,7019.999999797316,-429743.37687207386,322.9518857643403,217
750000,7049.999999794333,-429395.08776691556,325.15003289261193,217
760000,7079.99999979135,-430795.4373992181,323.16702768638527,217
770000,7109.999999788367,-431847.7835013843,323.931798959317,217
780000,7139.999999785384,-431099.6810042199,320.9442684818485,217
790000,7169.999999782401,-430341.76086144894,323.0736720563613,217
800000,7199.9999997794175,-431399.7759003916,321.89365724288507,217
810000,7229.999999776434,-430346.50343265943,323.371677473293,217
820000,7259.999999773451,-431086.395142674,320.0744833506721,217
830000,7289.999999770468,-431210.6757858086,323.6014101076365,217
840000,7319.999999767485,-430261.2388912833,324.09761290085027,217
850000,7349.999999764502,-431441.39565145574,323.65231669003407,217
860000,7379.999999761519,-428834.455668126,323.8061257729011,217
