#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10000,4630.000000016661,-437215.53343822784,310.0751354420663,0
20000,4660.000000013678,-436077.77655635914,312.55891338039237,218
30000,4690.000000010695,-438083.81746785925,310.1896590804923,218
40000,4720.000000007712,-437788.3500719401,310.31298774407213,217
50000,4750.0000000047285,-437104.7260062138,310.0063370097332,217
60000,4780.000000001745,-437900.58033311064,308.9124436167274,217
70000,4809.999999998762,-438130.72178642615,311.5669305101571,217
80000,4839.999999995779,-438627.542426988,310.298859120253,216
90000,4869.999999992796,-439158.45828963094,310.9778222277502,216
100000,4899.999999989813,-437917.01369177015,307.71226512937704,216
110000,4929.99999998683,-437986.378229904,309.07373974037284,216
120000,4959.9999999838465,-437316.00240047206,309.34851412836355,216
130000,4989.999999980863,-439282.11347363656,311.3139577272773,216
140000,5019.99999997788,-438256.6743683624,310.05212438598454,216
150000,5049.999999974897,-438922.76118163764,310.3488381809979,216
160000,5079.999999971914,-437971.8604046146,312.70795830287284,215
170000,5109.999999968931,-437158.71961424104,310.860564626802,215
180000,5139.999999965948,-436396.12311017606,313.3389875195126,216
190000,5169.9999999629645,-437139.4780766717,309.1616552629046,216
200000,5199.999999959981,-437171.1724524584,310.71056274767534,215
210000,5229.999999956998,-436987.10819830326,309.3577655691284,216
220000,5259.999999954015,-438210.54692593054,310.46910070556794,216
230000,5289.999999951032,-438287.3672536034,308.6976757826364,216
240000,5319.999999948049,-437297.25908981194,310.1253340240175,216
250000,5349.999999945066,-437867.787654225,312.2950620818035,216
260000,5379.9999999420825,-438655.8295421533,311.6793858842862,216
270000,5409.999999939099,-438075.01037571905,310.9989075391522,216
280000,5439.999999936116,-438283.987336457,308.6970697110221,216
290000,5469.999999933133,-437962.41607163777,310.03601265849755,216
300000,5499.99999993015,-437640.3679179456,310.34685152236625,216
310000,5529.999999927167,-437469.1639597565,310.62554267192326,216
320000,5559.999999924184,-437570.4172135785,311.371319878947,216
330000,5589.9999999212005,-437507.4472811958,309.78038643734686,216
340000,5619.999999918217,-437451.90121669695,308.63157585722064,215
350000,5649.999999915234,-438167.9731358753,310.7469181921668,214
360000,5679.999999912251,-436970.5979132934,311.3167587737148,214
370000,5709.999999909268,-438207.59192948695,309.6515419955449,214
380000,5739.999999906285,-437126.6058509827,312.1604938085708,214
390000,5769.999999903302,-437790.10169005464,311.33326280405566,214
400000,5799.9999999003185,-437874.7108857734,310.5133422980212,214
410000,5829.999999897335,-437718.2762360601,307.7043388471536,214
420000,5859.999999894352,-438018.11917408416,310.0922854802496,214
430000,5889.999999891369,-438821.6759421639,312.85610011528576,214
440000,5919.999999888386,-437704.77964628045,309.5621653539749,214
450000,5949.999999885403,-437876.98815154214,310.44175061762974,214
460000,5979.99999988242,-439086.5942467358,313.24235050396754,215
470000,6009.9999998794365,-438226.03039863263,307.67148017526335,214
480000,6039.999999876453,-437795.80526661966,308.9370322639786,213
490000,6069.99999987347,-437961.7305665496,311.3692985307584,213
500000,6099.999999870487,-438064.7214489144,311.23959831509063,212
510000,6129.999999867504,-437780.28154395404,313.5246537009184,212
520000,6159.999999864521,-437320.0217898092,308.2250840640988,212
530000,6189.999999861538,-438127.6130088696,310.9841040265376,212
540000,6219.9999998585545,-438049.4377048444,309.5114967780316,212
550000,6249.999999855571,-437224.9777562872,307.38825072683267,212
560000,6279.999999852588,-438180.4463396154,313.48474009378305,212
570000,6309.999999849605,-437697.0084555999,309.46733789484114,212
580000,6339.999999846622,-438607.0296551862,313.1516237352902,212
590000,6369.999999843639,-437437.5254654498,308.19987664996006,212
600000,6399.999999840656,-438239.9796287499,309.9060492729243,212
610000,6429.9999998376725,-437978.73639787175,312.80990030095535,212
620000,6459.999999834689,-438571.6630304032,311.12187414255914,212
630000,6489.999999831706,-437968.081235179,310.41201275465045,212
640000,6519.999999828723,-437994.67122793687,313.1231664782384,212
650000,6549.99999982574,-436918.67482723016,313.3067819138117,212
660000,6579.999999822757,-437938.6707118645,308.0282564482661,212
670000,6609.999999819774,-437929.68652742566,307.1929872808841,213
680000,6639.9999998167905,-438239.98033050913,311.2268235853551,213
690000,6669.999999813807,-437923.38260399667,310.20468513112627,213
700000,6699.999999810824,-438348.08394692,309.44805463899337,213
710000,6729.999999807841,-438306.35778011195,312.41985913252984,213
720000,6759.999999804858,-437899.4831195988,311.9919327424773,213
730000,6789.999999801875,-437820.61353573995,311.85719001780825,213
740000,6819.999999798892,-439113.041509575,311.33171596109133,213
750000,6849.9999997959085,-437702.9490949649,311.0883532438155,213
760000,6879.999999792925,-438835.51168689784,312.12795829997066,213
770000,6909.999999789942,-438609.1793724173,309.7366771066113,213
780000,6939.999999786959,-438647.06151911616,309.55967211454623,213
790000,6969.999999783976,-438304.31805474847,312.7678219005845,213
800000,6999.999999780993,-438081.9988370612,309.6929837275822,213
810000,7029.99999977801,-437093.6721856948,311.2846665565974,213
820000,7059.9999997750265,-438579.74972168147,311.15935072711926,213
830000,7089.999999772043,-437463.43888750323,312.37728423921675,213
840000,7119.99999976906,-437745.40508638206,310.8802277739653,213
850000,7149.999999766077,-438326.7846107229,310.8548965593583,213
860000,7179.999999763094,-438841.8311276026,309.26901828134135,213
870000,7209.999999760111,-437672.8286047897,308.39557133610856,213
880000,7239.999999757128,-438549.77098734095,312.1524718750951,213
890000,7269.9999997541445,-437777.37873682706,311.4635841657747,213
900000,7299.999999751161,-437585.478409695,310.8999303785293,213
910000,7329.999999748178,-437732.9204722857,309.2331836382677,213
920000,7359.999999745195,-437981.93281759834,309.06553266703406,213
930000,7389.999999742212,-437859.19348052517,309.1413654580548,213
940000,7419.999999739229,-438342.7905608646,312.4089172391565,213
950000,7449.999999736246,-438878.11995365564,311.63743221313126,213
960000,7479.9999997332625,-438458.0355470341,313.219173593884,213
