#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10000,4630.000000016661,-438131.7471024508,310.89151562721236,0
20000,4660.000000013678,-436865.3437561779,309.9779785182524,218
30000,4690.000000010695,-438056.97022967506,309.3161731589413,218
40000,4720.000000007712,-438640.1927692015,310.621915993978,218
50000,4750.0000000047285,-438048.30990354763,310.7456567626186,217
60000,4780.000000001745,-437052.60907960846,307.9967430505223,217
70000,4809.999999998762,-438398.23928759526,311.2202416992528,217
80000,4839.999999995779,-438006.45053290087,312.3616490465058,217
90000,4869.999999992796,-438411.0879688454,311.37805573230753,217
100000,4899.999999989813,-437994.8834897722,310.37257324147913,217
110000,4929.99999998683,-438022.59902575775,313.4088536678603,217
120000,4959.9999999838465,-438331.7489676317,311.38894902598804,217
130000,4989.999999980863,-437679.51979208714,311.85480367370957,217
140000,5019.99999997788,-439132.0194388055,312.1541171044427,217
150000,5049.999999974897,-436821.20148292836,310.307614173409,217
160000,5079.999999971914,-436770.3331779728,309.27645511078754,217
170000,5109.999999968931,-437277.8959472189,311.71174012006094,217
180000,5139.999999965948,-436351.49651052314,308.7140997169401,217
190000,5169.9999999629645,-436904.7774962422,310.32049509267364,217
200000,5199.999999959981,-437288.39537286316,312.14634554298954,216
210000,5229.999999956998,-437633.7466868358,311.0529930383555,216
220000,5259.999999954015,-437817.04048753344,309.0260696973191,216
230000,5289.999999951032,-439176.18509179144,310.00512361601534,216
240000,5319.999999948049,-438785.5533620652,312.25577661702056,216
250000,5349.999999945066,-437894.70249989396,311.238361723875,216
260000,5379.9999999420825,-438045.8626728938,311.63701583347085,216
270000,5409.999999939099,-438556.7051313047,313.3792315871523,216
280000,5439.999999936116,-437422.1514144826,311.5104434300355,216
290000,5469.999999933133,-436889.21574362204,310.0702941268385,216
300000,5499.99999993015,-437947.55379859195,308.05288181732817,216
310000,5529.999999927167,-437826.6812496232,313.52465951634935,216
320000,5559.999999924184,-437505.4645046524,310.5674066148361,216
330000,5589.9999999212005,-438035.9031784446,309.1214261356121,216
340000,5619.999999918217,-437684.65536891716,308.7606485352414,216
350000,5649.999999915234,-439479.05035714596,310.3820047200931,216
360000,5679.999999912251,-436923.5324627713,311.76749824905215,216
370000,5709.999999909268,-438397.80259002117,312.3550611091096,216
380000,5739.999999906285,-438656.65455512307,310.0478725999228,216
390000,5769.999999903302,-438426.03931326885,312.0812339535797,216
400000,5799.9999999003185,-437937.9075074848,312.20777219967937,216
410000,5829.999999897335,-439123.14881446306,308.7953559284248,216
420000,5859.999999894352,-439435.24307856313,308.16023712453216,216
430000,5889.999999891369,-439416.18973379047,309.9409324302555,216
440000,5919.999999888386,-437721.9262190466,309.7199972241211,216
450000,5949.999999885403,-437734.57723731385,308.8870403657525,216
460000,5979.99999988242,-438126.55432113097,308.0371172898421,216
470000,6009.9999998794365,-439230.96370296995,309.9201054591664,216
480000,6039.999999876453,-436923.47174933716,310.69609809033255,216
490000,6069.99999987347,-437804.9034561154,311.57499679481583,216
500000,6099.999999870487,-437780.97419385705,304.4177589898308,216
510000,6129.999999867504,-436475.6495636115,309.72812590747225,216
520000,6159.999999864521,-437924.92714753817,312.45617866219027,216
530000,6189.999999861538,-438169.8917398723,309.60206829208437,216
540000,6219.9999998585545,-437697.6611468324,310.8780204601831,216
550000,6249.999999855571,-439286.50095656444,310.27212341060374,216
560000,6279.999999852588,-437875.35887526,312.9697912215388,216
570000,6309.999999849605,-437018.8551233676,309.17598200378427,216
580000,6339.999999846622,-438713.50508472836,311.5493581599524,216
590000,6369.999999843639,-438408.14891065005,311.6545250457082,216
600000,6399.999999840656,-438269.419083036,310.21931587589756,216
610000,6429.9999998376725,-437089.6641538141,311.2968715334884,216
620000,6459.999999834689,-437451.21166141704,311.48860905688724,216
630000,6489.999999831706,-438267.70575679373,311.67862486738875,216
640000,6519.999999828723,-438703.5333444488,308.44584169732445,216
650000,6549.99999982574,-438572.381370052,309.98440820287806,216
660000,6579.999999822757,-437567.9645499133,308.55730626469665,216
670000,6609.999999819774,-436539.44867840316,311.2366426104421,216
680000,6639.9999998167905,-438881.29133311566,307.15983847231655,216
690000,6669.999999813807,-438981.8577477804,310.52546576851216,216
700000,6699.999999810824,-438781.9613037619,308.27239172692435,216
710000,6729.999999807841,-437658.7832170259,308.80756505648816,216
720000,6759.999999804858,-438280.4014727066,309.53626191764897,216
730000,6789.999999801875,-438735.4310379061,309.1518730806117,216
740000,6819.999999798892,-438261.28086299007,309.8671706616288,216
750000,6849.9999997959085,-438566.0719666213,307.9352074387907,216
760000,6879.999999792925,-438051.11746114935,312.6827853382651,216
770000,6909.999999789942,-438517.7953706349,309.3817151688531,216
780000,6939.999999786959,-438831.6289632963,311.3252228618398,216
790000,6969.999999783976,-438566.76458428823,309.9358977696841,216
800000,6999.999999780993,-438396.1893654545,310.22423167220967,216
810000,7029.99999977801,-437939.9519743619,309.9193026101042,216
820000,7059.9999997750265,-437424.3039554008,310.6057910306068,216
830000,7089.999999772043,-438016.48060140223,308.9490091011305,216
840000,7119.99999976906,-437267.906699016,310.96056763019334,216
850000,7149.999999766077,-439650.1389813011,309.503274441214,216
860000,7179.999999763094,-437530.8496657957,310.9371724292869,216
870000,7209.999999760111,-438960.6346337048,310.76054532351253,216
880000,7239.999999757128,-439180.40048984415,312.56276864593445,216
890000,7269.9999997541445,-437880.00343046593,310.11063374349425,216
900000,7299.999999751161,-438869.502412701,310.39963626128593,216
910000,7329.999999748178,-439183.48810357833,310.4011874684602,216
920000,7359.999999745195,-438235.86220532516,310.88688203901626,216
930000,7389.999999742212,-439017.4696051101,313.3054217912379,216
940000,7419.999999739229,-438471.7942659566,309.00101099655654,216
950000,7449.999999736246,-438881.0211248235,308.94664451378003,216
960000,7479.9999997332625,-436386.7412701282,311.8083224615501,216
970000,7509.999999730279,-438091.47438320145,310.3408288243424,216
980000,7539.999999727296,-439719.5164624534,310.6404570186182,216
990000,7569.999999724313,-438631.5744272652,312.5007405950455,216
1000000,7599.99999972133,-437466.07452594815,310.46892958595333,216
1010000,7629.999999718347,-438714.3122550952,312.0891294405191,216
1020000,7659.999999715364,-437763.69482565415,310.2100435144966,216
1030000,7689.9999997123805,-438564.656522,309.68270751376355,216
1040000,7719.999999709397,-438630.9442572675,309.12733963023913,216
1050000,7749.999999706414,-439033.91040264955,310.0309855289199,216
1060000,7779.999999703431,-438689.352556488,311.5875810612271,216
1070000,7809.999999700448,-438092.58911994053,308.60380122992393,216
1080000,7839.999999697465,-438612.527380639,308.9100054852288,216
1090000,7869.999999694482,-438626.88431623485,311.74939673572817,216
1100000,7899.9999996914985,-438972.3096997868,308.8100941419572,216
1110000,7929.999999688515,-439110.9814764552,310.56610380880846,216
1120000,7959.999999685532,-438140.9914018598,310.1305178237675,216
1130000,7989.999999682549,-439135.7271333444,309.3025384760318,216
1140000,8019.999999679566,-438123.04591658106,311.7507034162498,216
1150000,8049.999999676583,-438108.63273720327,310.03934784318545,216
1160000,8079.9999996736,-438274.47872450156,311.45304174784246,216
1170000,8109.9999996706165,-438515.5039065031,310.0520185340625,216
1180000,8139.999999667633,-438899.58342146873,310.4054381629961,216
1190000,8169.99999966465,-439355.20598014817,312.4842237503048,216
1200000,8199.999999664093,-438573.87758939876,309.6403006546478,216
1210000,8229.999999670204,-439577.8383965837,310.2223024174937,216
1220000,8259.999999676316,-438078.96379074943,312.12839253218334,216
1230000,8289.999999682428,-438166.2960673203,313.2255725763204,216
1240000,8319.99999968854,-438496.53048581816,309.99645487293634,216
1250000,8349.999999694652,-438171.06921394984,308.93777035302105,216
1260000,8379.999999700764,-439858.17485423014,310.8267350605096,216
1270000,8409.999999706875,-438781.8046646151,306.944876430864,216
1280000,8439.999999712987,-437808.3816990219,310.34356849449523,216
1290000,8469.999999719099,-438758.0283131164,311.59515798747185,216
1300000,8499.99999972521,-437729.4597727782,311.0731562080566,216
1310000,8529.999999731323,-438693.05442305095,309.6402365024525,216
1320000,8559.999999737434,-439080.8733430777,310.8764404671698,216
1330000,8589.999999743546,-438754.4342502712,310.01469612804055,216
1340000,8619.999999749658,-437798.1430229347,313.24279236048903,216
1350000,8649.99999975577,-438443.0373750904,307.2754276322095,216
1360000,8679.999999761882,-438027.560578021,311.8368428753971,216
1370000,8709.999999767993,-438110.5554231345,311.1766423603833,216
1380000,8739.999999774105,-437890.9558895158,309.83261877044674,216
1390000,8769.999999780217,-438243.44157667644,307.0007420882249,216
1400000,8799.999999786329,-438860.8729747725,310.58348431759083,216
1410000,8829.99999979244,-439512.8614070895,310.94508230406825,216
1420000,8859.999999798552,-438290.31140673487,312.028543721076,216
1430000,8889.999999804664,-438517.7110349501,311.61104512212165,216
1440000,8919.999999810776,-438137.37114018225,309.73518048419254,216
1450000,8949.999999816888,-438641.17455246695,310.7707221438953,216
