#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10000,4630.000000016661,-437721.4968643156,309.97172154806543,0
20000,4660.000000013678,-437052.84934214107,311.8997802681593,211
30000,4690.000000010695,-437134.42953821784,309.41274138418,212
40000,4720.000000007712,-437601.88766220585,310.5338667886014,212
50000,4750.0000000047285,-437821.75678778975,311.74398208096864,212
60000,4780.000000001745,-437097.71239357814,310.8542023968395,213
70000,4809.999999998762,-437572.60740057426,308.9461139171281,213
80000,4839.999999995779,-436653.7902418608,307.55334944290837,213
90000,4869.999999992796,-438138.9068807028,311.0560745225832,214
100000,4899.999999989813,-437781.8015320392,311.75276464903527,213
110000,4929.99999998683,-437233.80707703345,310.56869364477274,213
120000,4959.9999999838465,-437236.3683977786,311.750795171504,213
130000,4989.999999980863,-437090.68928820034,313.00184929666796,213
140000,5019.99999997788,-437845.94618802937,308.230580286564,213
150000,5049.999999974897,-439114.45527143055,310.384520615955,213
160000,5079.999999971914,-437979.0912064051,312.49994918314775,213
170000,5109.999999968931,-437594.89538891194,312.2605126787187,212
180000,5139.999999965948,-437890.49730781885,308.8643023424874,213
190000,5169.9999999629645,-436441.99241362396,310.090179574246,213
200000,5199.999999959981,-437742.8965875048,310.543015532481,213
210000,5229.999999956998,-438621.3800486482,311.52924369907817,213
220000,5259.999999954015,-437523.022043013,311.22186763892887,213
230000,5289.999999951032,-438451.42451108946,310.8568417641357,213
240000,5319.999999948049,-438192.3209014458,312.2038696271806,213
250000,5349.999999945066,-438394.964839553,310.2346267763884,213
260000,5379.9999999420825,-438367.130635801,309.9868705940952,213
270000,5409.999999939099,-437887.88754715095,309.06484979838854,213
280000,5439.999999936116,-436729.8290842632,310.9530252739334,213
290000,5469.999999933133,-436690.76796592213,307.54421176388183,213
300000,5499.99999993015,-438147.6381245435,309.059327634559,213
310000,5529.999999927167,-437418.6027612495,311.6251519906899,213
320000,5559.999999924184,-437802.86952331103,311.2832017199849,213
330000,5589.9999999212005,-437669.24185388396,310.8491380432061,213
340000,5619.999999918217,-438012.3667253684,311.24249703379724,213
350000,5649.999999915234,-437950.80407609465,309.32452707063055,213
360000,5679.999999912251,-438363.70941240457,313.05748819936554,213
370000,5709.999999909268,-438567.4970524495,310.8080254172509,213
380000,5739.999999906285,-437628.0661074212,312.5146642325917,213
390000,5769.999999903302,-437075.0380938696,310.6387049998805,213
400000,5799.9999999003185,-438812.6421054811,312.38288143415133,213
410000,5829.999999897335,-438760.81916309195,310.389882635619,213
420000,5859.999999894352,-436593.08671505656,310.27946315141355,213
430000,5889.999999891369,-438679.1094663704,309.01979177328445,213
440000,5919.999999888386,-438144.18416493945,313.35220584745036,213
450000,5949.999999885403,-438660.09827801003,312.40034743965305,213
460000,5979.99999988242,-438511.18298335024,310.95443413526306,213
470000,6009.9999998794365,-438648.52646803646,312.5119760545153,213
480000,6039.999999876453,-437584.89596742694,311.4131127060681,213
490000,6069.99999987347,-438182.512516886,309.6827368179515,214
500000,6099.999999870487,-437994.76396547863,312.6333379038167,213
510000,6129.999999867504,-438690.99530726485,309.8587691357911,214
520000,6159.999999864521,-438741.59147231816,309.13418085005253,214
530000,6189.999999861538,-438610.42552429927,308.14920000285196,214
540000,6219.9999998585545,-438270.40394946747,309.82037563498204,214
550000,6249.999999855571,-437131.22531269677,310.78270180104636,214
560000,6279.999999852588,-439308.4304041986,311.03854524437094,214
570000,6309.999999849605,-438942.1324901774,311.5324252613878,214
580000,6339.999999846622,-438533.66608981043,310.52034252535157,214
590000,6369.999999843639,-437993.9929799496,311.80686602893076,214
600000,6399.999999840656,-437808.41737563396,307.8480774201988,214
610000,6429.9999998376725,-437633.2364127112,310.86530796625834,214
620000,6459.999999834689,-437089.64257242554,309.32720492939893,214
630000,6489.999999831706,-437670.9018534825,311.07968429249473,214
640000,6519.999999828723,-439091.00295633846,308.6522022411153,214
650000,6549.99999982574,-438372.35405865265,313.62713118314394,214
660000,6579.999999822757,-438318.5138263155,306.9217233308296,214
670000,6609.999999819774,-438020.54049684573,309.80896958314844,214
680000,6639.9999998167905,-438308.10344475973,311.453550044314,214
690000,6669.999999813807,-437238.83938017953,308.56503837663513,214
700000,6699.999999810824,-438307.33960433886,308.4133287790123,214
710000,6729.999999807841,-437247.7249917041,309.4942906848583,214
720000,6759.999999804858,-438928.19436596707,310.3511168247056,214
730000,6789.999999801875,-437792.5420406603,311.06854131200436,214
740000,6819.999999798892,-438292.8310423547,310.3610908593974,214
750000,6849.9999997959085,-438257.9783675738,307.3147373948478,214
760000,6879.999999792925,-437650.0554271003,310.30478157251724,214
770000,6909.999999789942,-438217.6170075864,309.92183456409424,214
780000,6939.999999786959,-438162.4480721187,312.9407508567076,214
790000,6969.999999783976,-437151.2044093844,311.09551757035814,214
800000,6999.999999780993,-437316.1889839261,308.9592836291758,214
810000,7029.99999977801,-437927.88083858974,311.2490341187925,214
820000,7059.9999997750265,-438312.6379334242,310.30512785644373,214
830000,7089.999999772043,-437977.4941700713,309.0265098045973,214
840000,7119.99999976906,-438459.13900838234,308.46124679257366,214
850000,7149.999999766077,-437464.1073465545,312.41622864268186,214
860000,7179.999999763094,-438814.5553920639,310.50197862803543,214
870000,7209.999999760111,-438424.5648218135,310.51695514695393,214
880000,7239.999999757128,-439976.71264991537,310.2201840204718,214
890000,7269.9999997541445,-437491.1680233646,310.7098970997661,214
900000,7299.999999751161,-437682.31554986234,313.0321081316859,214
910000,7329.999999748178,-437637.03505850397,311.6890816516025,214
920000,7359.999999745195,-437478.55627098074,308.5032618009466,214
930000,7389.999999742212,-437864.8762837639,306.44848856992246,214
940000,7419.999999739229,-437611.8985697278,311.87851268526146,214
950000,7449.999999736246,-437996.4509379852,308.4606060504379,214
960000,7479.9999997332625,-438992.6414028574,312.6603343485612,214
970000,7509.999999730279,-437530.10901554977,312.18818739267505,214
980000,7539.999999727296,-437966.58249333594,309.67428326488937,214
990000,7569.999999724313,-437438.5631292057,308.00640439749736,214
1000000,7599.99999972133,-437852.5126462607,313.56509918562386,214
1010000,7629.999999718347,-438669.88638692256,309.2800719071495,214
1020000,7659.999999715364,-437910.3108525933,308.63244919091824,214
1030000,7689.9999997123805,-438287.43126302655,310.6232235395685,214
1040000,7719.999999709397,-438984.14953328157,309.9365065599679,214
1050000,7749.999999706414,-439144.0974757103,310.14505600276283,214
1060000,7779.999999703431,-438161.507008133,310.69874133088945,214
1070000,7809.999999700448,-438082.36346231704,312.0952841941316,214
1080000,7839.999999697465,-437682.7425859147,310.1067893139791,214
1090000,7869.999999694482,-438574.4067314642,311.9612388470199,214
1100000,7899.9999996914985,-437783.9294447559,308.9781290155434,214
1110000,7929.999999688515,-437557.09359405027,308.1175193597275,214
1120000,7959.999999685532,-438086.4113909218,309.8201176009756,214
1130000,7989.999999682549,-438075.2807327467,310.60146527554684,214
1140000,8019.999999679566,-438471.95501278783,309.2253632551897,214
1150000,8049.999999676583,-438864.865356921,309.04524325264686,214
1160000,8079.9999996736,-437241.1626207726,310.8751379393349,214
1170000,8109.9999996706165,-438828.832986942,311.7187440250265,214
1180000,8139.999999667633,-438277.9547475246,313.3883947045704,214
1190000,8169.99999966465,-438062.21206412534,310.77409594440957,214
1200000,8199.999999664093,-437999.3275911021,310.9753023557082,214
1210000,8229.999999670204,-439395.6645467377,311.67633261412936,214
1220000,8259.999999676316,-437613.4179297711,309.5458531489221,214
1230000,8289.999999682428,-437411.571510419,312.80121150396656,214
1240000,8319.99999968854,-438306.6478198329,311.41421056927965,214
1250000,8349.999999694652,-438195.6279227333,309.1043231561331,214
1260000,8379.999999700764,-437785.36489704926,309.9059528891153,214
1270000,8409.999999706875,-437966.92365526524,309.3631854745327,214
1280000,8439.999999712987,-438653.43507727864,308.9260776479899,214
1290000,8469.999999719099,-438172.74278226565,310.800553357774,214
1300000,8499.99999972521,-437549.70995255304,312.3059652774269,213
1310000,8529.999999731323,-438878.5432599308,313.65516160315053,213
1320000,8559.999999737434,-437991.7308503203,310.8129342651438,213
1330000,8589.999999743546,-438083.88336968794,310.9970915335307,213
1340000,8619.999999749658,-438262.1241715152,309.8333055948638,213
1350000,8649.99999975577,-438410.99704728764,309.49665387731255,213
1360000,8679.999999761882,-437611.3970697592,310.5891172028807,213
1370000,8709.999999767993,-437735.6005515042,313.0511149257956,213
1380000,8739.999999774105,-438764.84928323166,313.5480556462326,213
1390000,8769.999999780217,-438854.7104947516,310.2096979619345,213
1400000,8799.999999786329,-438552.81029373547,308.1791812457315,213
1410000,8829.99999979244,-439201.0827367944,311.12765167350597,213
1420000,8859.999999798552,-437875.455232759,310.6659426111327,213
1430000,8889.999999804664,-439315.17190203024,310.718943554807,213
1440000,8919.999999810776,-439543.5441507213,309.7422204051084,213
1450000,8949.999999816888,-440790.30615521944,312.62950743342674,213
1460000,8979.999999823,-438606.3001862052,312.1364998992265,213
1470000,9009.999999829111,-439709.30823971215,309.5986015641993,213
1480000,9039.999999835223,-438324.7571947875,312.71254070857685,213
1490000,9069.999999841335,-438673.26706221513,311.39051127589283,213
1500000,9099.999999847447,-438088.97120001377,311.19763110645636,212
1510000,9129.999999853559,-437257.79976831493,309.7018607502246,212
1520000,9159.99999985967,-438344.606307023,309.6306682183294,212
1530000,9189.999999865782,-438410.6199676001,312.52999992180264,212
1540000,9219.999999871894,-438122.2415647751,311.7688589188925,212
1550000,9249.999999878006,-438342.98468470597,310.75021779106066,212
1560000,9279.999999884118,-438087.71742118755,312.20766771366783,212
1570000,9309.99999989023,-438630.6585953473,310.7282642840115,212
1580000,9339.999999896341,-437610.66678062547,309.75622264052396,212
1590000,9369.999999902453,-438971.344870643,309.8049545821566,212
1600000,9399.999999908565,-438426.1414087056,310.83404148004854,212
