#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10000,4830.000000015086,-429349.02071686625,324.3604063917193,0
20000,4860.000000012103,-429690.15434129816,324.7880317277125,218
30000,4890.0000000091195,-429737.50458888547,323.8967635210368,218
40000,4920.000000006136,-431021.7494843404,326.1047015790615,218
50000,4950.000000003153,-429980.99650236475,324.15302248769837,217
60000,4980.00000000017,-430215.4028009188,324.59624284479395,217
70000,5009.999999997187,-428397.54327619355,323.9650680788737,217
80000,5039.999999994204,-430728.03014413477,321.22113070387934,217
90000,5069.999999991221,-429261.86971954326,324.906808813914,217
100000,5099.9999999882375,-430343.97731549595,323.96129595353534,217
110000,5129.999999985254,-430330.4579594664,323.5089119685156,217
120000,5159.999999982271,-428857.4853155352,324.3056510626181,217
130000,5189.999999979288,-429818.8339629988,324.57947081092505,217
140000,5219.999999976305,-429234.38989474904,324.1414490505645,217
150000,5249.999999973322,-428726.47600530833,323.35952840920555,217
160000,5279.999999970339,-430077.61455991515,323.6480055035574,217
170000,5309.9999999673555,-429448.3055061484,323.1233900859013,217
180000,5339.999999964372,-431095.5803274999,323.4703834520231,217
190000,5369.999999961389,-430568.6965532452,322.74138239708833,217
200000,5399.999999958406,-430964.511573995,325.0370607512944,217
210000,5429.999999955423,-430306.3783469994,320.8751316751672,217
220000,5459.99999995244,-430433.8728565606,322.93391891199866,217
230000,5489.999999949457,-428808.95046791504,323.6761697442152,217
240000,5519.9999999464735,-430997.0348909963,321.66390704996263,217
250000,5549.99999994349,-429246.67331158975,324.0553252480514,216
260000,5579.999999940507,-430656.229198548,323.72221875102406,217
270000,5609.999999937524,-429231.8388372422,322.28400049955206,217
280000,5639.999999934541,-429136.43064294173,320.9979205176942,217
290000,5669.999999931558,-429123.01563335815,323.9395797409592,217
300000,5699.999999928575,-430621.5864383015,326.75853694144087,216
310000,5729.9999999255915,-428993.8104919896,325.70174274983356,217
320000,5759.999999922608,-429813.7044191209,318.97710196366774,217
330000,5789.999999919625,-429145.7961062642,322.13278279252194,217
340000,5819.999999916642,-430284.53263557283,328.64274053389215,217
350000,5849.999999913659,-429269.12637814437,323.5644646383558,216
360000,5879.999999910676,-430023.47030522814,324.244703005745,216
370000,5909.999999907693,-429571.8284152064,325.0859503453108,216
380000,5939.9999999047095,-429620.7492250302,325.76139888155086,217
390000,5969.999999901726,-429450.6240659042,324.37711698249234,217
400000,5999.999999898743,-429420.80569321057,321.67068272901804,216
410000,6029.99999989576,-430214.2136787141,324.61014905522757,216
420000,6059.999999892777,-430994.64911730844,325.49363840772094,217
