#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10000,4630.000000016661,-436891.3909297297,310.2597302246859,0
20000,4660.000000013678,-437843.6217015472,310.48699155224756,219
30000,4690.000000010695,-436910.0747723989,312.16019002473524,218
40000,4720.000000007712,-437262.6181371042,312.6947465348322,217
50000,4750.0000000047285,-437522.7733549634,307.9156124610206,216
60000,4780.000000001745,-437418.8407828086,310.05597498000805,216
70000,4809.999999998762,-438418.0570726055,310.0138554180545,216
80000,4839.999999995779,-436649.64177044295,314.71149813655006,216
90000,4869.999999992796,-437437.41611176264,309.25378078528684,216
100000,4899.999999989813,-437367.44955218234,311.06105066050947,216
110000,4929.99999998683,-437605.1449793596,308.8758763123019,216
120000,4959.9999999838465,-437974.06906013563,313.1042353608111,216
130000,4989.999999980863,-438260.7466724529,310.30992886274305,216
140000,5019.99999997788,-437521.13247335795,312.07132324994444,216
150000,5049.999999974897,-438042.9376585332,309.1056142154239,216
160000,5079.999999971914,-438897.9472228384,312.56627876236513,216
170000,5109.999999968931,-437344.80927003874,312.28398987562304,216
180000,5139.999999965948,-437877.65486627957,310.78446144843105,216
190000,5169.9999999629645,-437912.2039077154,312.9478055713812,216
200000,5199.999999959981,-437859.64114080835,308.9333374056721,216
210000,5229.999999956998,-436866.8269645381,310.43039814235965,216
220000,5259.999999954015,-437484.1501895422,311.6984621110226,216
230000,5289.999999951032,-438155.0073116352,313.84897184723735,216
240000,5319.999999948049,-437718.7716655405,310.49740381136104,216
250000,5349.999999945066,-436601.63636578433,309.9962433659281,216
260000,5379.9999999420825,-437717.0388875522,311.4560223784988,216
270000,5409.999999939099,-437642.54223720613,311.9000611470419,216
280000,5439.999999936116,-437478.7465476047,310.60533896985254,216
290000,5469.999999933133,-439306.367881662,310.19544937593434,216
300000,5499.99999993015,-437975.53493507043,312.6105059639753,216
310000,5529.999999927167,-437799.2844631381,309.05361773262047,216
320000,5559.999999924184,-437865.1589630323,312.71889040591003,216
330000,5589.9999999212005,-438279.4180606196,309.0504619420907,216
340000,5619.999999918217,-438642.785589637,309.6978443600022,216
350000,5649.999999915234,-437620.70296011865,312.4865763892068,216
360000,5679.999999912251,-438827.1710494654,309.85452562423274,216
370000,5709.999999909268,-438944.85539177945,308.13009088570027,216
380000,5739.999999906285,-437608.7356587958,308.0141084727014,216
390000,5769.999999903302,-438382.03593912395,311.31709587797775,216
400000,5799.9999999003185,-437774.8030699515,311.41502540755715,216
410000,5829.999999897335,-437353.4013447326,307.5094456479067,216
420000,5859.999999894352,-438886.0271176582,309.0881897202886,216
430000,5889.999999891369,-437080.2279859171,311.6900713754281,216
440000,5919.999999888386,-437220.5866648471,308.5229378433892,216
450000,5949.999999885403,-437565.04748826125,310.97087961283194,216
460000,5979.99999988242,-437105.600541241,309.464593572667,216
470000,6009.9999998794365,-439071.4163255319,313.12546717879763,216
480000,6039.999999876453,-438448.5214697635,311.87057774079557,216
490000,6069.99999987347,-438181.09091090807,309.85406602615876,216
500000,6099.999999870487,-437551.4532163106,309.4700100626029,216
510000,6129.999999867504,-437822.7711400045,311.83530241092683,216
520000,6159.999999864521,-438226.58337365044,309.7886192266383,216
530000,6189.999999861538,-437642.8781889167,310.017587817416,216
540000,6219.9999998585545,-439191.92616292275,313.217758017602,216
550000,6249.999999855571,-438519.3190462177,312.0620568540999,216
560000,6279.999999852588,-439154.13008176954,308.3947596193513,216
570000,6309.999999849605,-437873.4238171489,308.3801229328566,216
580000,6339.999999846622,-438349.5271862454,310.90608466168175,216
590000,6369.999999843639,-438215.0833301877,310.30452420951553,216
600000,6399.999999840656,-438719.8868714776,312.32116804363676,216
610000,6429.9999998376725,-437816.4080444935,311.7432890938529,216
620000,6459.999999834689,-436739.8244577376,311.7915323830949,216
630000,6489.999999831706,-438782.7491200168,309.5532016525577,216
640000,6519.999999828723,-437987.1308203121,311.04248772889525,216
650000,6549.99999982574,-438328.84458255256,308.1567161455365,216
660000,6579.999999822757,-438202.51163411955,307.56192789814145,216
670000,6609.999999819774,-437817.0632801836,309.37920477008015,216
680000,6639.9999998167905,-438614.37934311223,311.2111148125236,216
690000,6669.999999813807,-437871.2656754423,307.4985248736343,216
700000,6699.999999810824,-437945.6819923001,308.5103993894411,216
710000,6729.999999807841,-437991.39173709764,312.1686212339861,216
720000,6759.999999804858,-438899.64903281396,310.56049989623455,216
730000,6789.999999801875,-438567.70155514334,312.79898554145757,216
