#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10000,4630.000000016661,-436543.97452476155,310.7416262692193,0
20000,4660.000000013678,-436710.7443080393,311.5366346315975,218
30000,4690.000000010695,-437894.1046236104,310.0202642180189,218
40000,4720.000000007712,-437878.427154833,311.33313095807495,217
50000,4750.0000000047285,-436862.5156459571,309.2977030774614,216
60000,4780.000000001745,-436257.6320068559,310.4484527545026,217
70000,4809.999999998762,-438678.06801749347,308.10798782812293,217
80000,4839.999999995779,-436909.44684177893,309.8855008950299,216
90000,4869.999999992796,-439082.5930150193,307.747995138343,216
100000,4899.999999989813,-438291.30757918395,311.92646368575396,216
110000,4929.99999998683,-438448.93928817194,308.085973478951,216
120000,4959.9999999838465,-437460.2585918277,309.22298395955664,216
130000,4989.999999980863,-439652.97611568845,313.052031280565,216
140000,5019.99999997788,-437682.0264252331,310.66602229837287,216
150000,5049.999999974897,-437045.36856298475,311.9254921350852,216
160000,5079.999999971914,-437373.5364933475,309.91079515664745,216
170000,5109.999999968931,-436856.783225077,310.94183486932957,216
180000,5139.999999965948,-437468.1711774783,310.22817140976787,216
190000,5169.9999999629645,-437327.1570868066,310.89572915265893,216
200000,5199.999999959981,-436692.6923564726,312.92190011984496,216
210000,5229.999999956998,-437230.17401672876,309.3714380021777,216
220000,5259.999999954015,-437762.6142840008,311.7532854386066,216
230000,5289.999999951032,-438467.5052219138,309.9064743360141,216
240000,5319.999999948049,-437710.5946794499,311.66632873645193,216
250000,5349.999999945066,-437943.2044438536,312.01861409646085,216
260000,5379.9999999420825,-437366.1647238624,310.34635348016695,216
270000,5409.999999939099,-438394.4741556044,309.73252619760325,216
280000,5439.999999936116,-436421.38500988437,309.9098514650457,216
290000,5469.999999933133,-438103.81565088965,310.06596300296553,216
300000,5499.99999993015,-437320.47809440806,307.7376935072241,216
310000,5529.999999927167,-438489.25668599573,309.81910498986974,216
320000,5559.999999924184,-437240.8629376963,309.51175665725106,216
330000,5589.9999999212005,-438406.0724157351,310.6079141036973,216
340000,5619.999999918217,-438655.3752290257,310.1661364552441,216
350000,5649.999999915234,-438000.0238917805,312.29818021313486,216
360000,5679.999999912251,-437413.2122955939,308.7730639035076,216
370000,5709.999999909268,-437411.86442006077,312.0064561514077,216
380000,5739.999999906285,-438567.4675453545,307.3926554483044,216
390000,5769.999999903302,-438486.2208545867,311.3315378362095,216
400000,5799.9999999003185,-437602.1729942316,310.99592633781793,216
410000,5829.999999897335,-438192.4171805815,309.62231756954327,216
420000,5859.999999894352,-437213.57940652757,312.94597501239684,216
430000,5889.999999891369,-438329.3880609153,310.65784215912316,216
440000,5919.999999888386,-437622.6945694515,310.03056479259965,216
450000,5949.999999885403,-438733.17334524053,309.054408876295,216
460000,5979.99999988242,-437848.22314525885,312.06999380374083,216
470000,6009.9999998794365,-438118.5504055398,312.8449559528456,216
480000,6039.999999876453,-437692.20782770636,311.2961410935137,216
490000,6069.99999987347,-437599.99511090084,311.4879903132135,216
500000,6099.999999870487,-435602.1077749985,313.5109590294256,216
510000,6129.999999867504,-437739.7619157871,310.5125341324315,216
520000,6159.999999864521,-436894.56029923866,310.8006238617822,216
530000,6189.999999861538,-439598.64549965854,309.9747277712164,216
540000,6219.9999998585545,-437020.3625194782,310.3534752976441,216
550000,6249.999999855571,-438953.24261938664,311.42996326582056,216
560000,6279.999999852588,-437805.7514144643,308.60669359186636,216
570000,6309.999999849605,-438330.1906134696,312.23188741615746,216
580000,6339.999999846622,-438025.5291867915,310.3896544672105,216
590000,6369.999999843639,-438322.4191898878,311.74449616049435,216
600000,6399.999999840656,-438008.20111276535,309.9029207321197,216
610000,6429.9999998376725,-437648.7956731187,311.0596189676025,216
620000,6459.999999834689,-439375.30690433946,309.9988119366476,216
630000,6489.999999831706,-438289.3733515325,308.45006271787577,216
640000,6519.999999828723,-439600.9517783122,310.96515578423356,216
650000,6549.99999982574,-437807.40479898616,310.27371763446536,216
660000,6579.999999822757,-437744.20753888856,311.286459782388,216
670000,6609.999999819774,-437730.93086479953,311.80194446271156,216
680000,6639.9999998167905,-437074.5128976768,305.2071045704093,216
690000,6669.999999813807,-438713.48150200676,307.4044437516209,216
700000,6699.999999810824,-439320.58652149024,310.082530893639,216
710000,6729.999999807841,-438188.4686387321,310.1841067722942,216
720000,6759.999999804858,-438157.8798098406,310.66092677674914,216
730000,6789.999999801875,-437714.9640839023,308.4727563959262,216
740000,6819.999999798892,-437657.4809818994,308.98110802534586,216
750000,6849.9999997959085,-438167.17480833153,309.82842997383426,216
760000,6879.999999792925,-438983.3496453974,312.2527671831542,216
770000,6909.999999789942,-439010.0412787923,309.736890191319,216
780000,6939.999999786959,-438557.96617391915,310.6400150090654,216
790000,6969.999999783976,-439273.91557729384,309.0925019309804,216
800000,6999.999999780993,-438045.7061723715,309.93329214780636,216
810000,7029.99999977801,-438829.42505358136,309.54437515792324,216
820000,7059.9999997750265,-437188.9145742059,310.89361523408513,216
830000,7089.999999772043,-438378.94906677655,312.53108574545433,216
840000,7119.99999976906,-438138.8116525314,310.84170762250847,216
850000,7149.999999766077,-438675.3242128077,312.8381125737965,216
860000,7179.999999763094,-439567.1526378386,307.82600857639267,216
870000,7209.999999760111,-438736.5967859095,311.11785410350103,216
880000,7239.999999757128,-437794.07788257184,310.5634490577808,216
890000,7269.9999997541445,-439057.4745296135,309.83566305653113,216
900000,7299.999999751161,-438143.95917067793,312.1999895049515,216
910000,7329.999999748178,-439586.078599168,310.89704837483185,216
920000,7359.999999745195,-437461.65373045555,312.64896931454007,216
930000,7389.999999742212,-439020.24202725943,310.43418147197303,216
940000,7419.999999739229,-438023.9380482703,310.0733031228832,216
950000,7449.999999736246,-438964.01646024175,307.5938526498366,216
960000,7479.9999997332625,-438075.22342418926,312.2580266496004,216
970000,7509.999999730279,-438696.0623205814,308.30788218411465,216
980000,7539.999999727296,-439044.55619056267,310.79475784441775,216
990000,7569.999999724313,-438596.7837326068,310.9330719788871,216
1000000,7599.99999972133,-438692.6366746775,312.8972789516515,216
1010000,7629.999999718347,-437971.8276531012,311.4246568705734,216
1020000,7659.999999715364,-437487.0449564245,307.56570653077324,216
1030000,7689.9999997123805,-438678.7945548154,309.914063826157,216
1040000,7719.999999709397,-438666.6152465169,308.2023480752451,216
1050000,7749.999999706414,-439170.98610469396,310.6992795598301,216
1060000,7779.999999703431,-437537.020758105,313.7337819492225,216
1070000,7809.999999700448,-438519.26095059374,310.186413680531,216
1080000,7839.999999697465,-439119.7774427077,311.7223200268035,216
1090000,7869.999999694482,-437220.24415915995,310.93017895910396,216
1100000,7899.9999996914985,-437662.5251056375,312.531188117148,216
1110000,7929.999999688515,-438531.7503704184,308.43598655028256,216
1120000,7959.999999685532,-436805.59064389556,309.41657101257215,216
1130000,7989.999999682549,-438176.75512679317,311.28186563627537,216
1140000,8019.999999679566,-438893.8098556767,313.03249482984774,216
1150000,8049.999999676583,-439470.3436668811,309.6639478569657,216
1160000,8079.9999996736,-438563.1535404476,310.17420525926497,216
1170000,8109.9999996706165,-437694.21048036567,312.41806422260044,216
1180000,8139.999999667633,-438952.0660561668,309.9641333838304,216
1190000,8169.99999966465,-439011.4033401152,310.6068132152753,216
1200000,8199.999999664093,-438182.38064270164,311.43398351838647,215
1210000,8229.999999670204,-437951.3230213665,310.3746983822023,216
1220000,8259.999999676316,-438881.9015214867,309.7366056092332,216
1230000,8289.999999682428,-437783.08119900455,309.7062876945509,216
1240000,8319.99999968854,-437870.2465545703,309.7465293213023,216
1250000,8349.999999694652,-438805.30984839424,310.30645396380305,215
1260000,8379.999999700764,-438554.9745534479,311.9034010373012,215
1270000,8409.999999706875,-439079.84882643726,307.8355938427415,215
1280000,8439.999999712987,-439096.6159853297,311.4944958506845,216
1290000,8469.999999719099,-439254.31360499584,309.5620025127376,216
1300000,8499.99999972521,-438063.53015403706,310.45608205437617,215
1310000,8529.999999731323,-437982.0140397358,312.28107952829475,215
1320000,8559.999999737434,-439445.6569292557,312.216361050204,215
1330000,8589.999999743546,-437875.55941098626,309.17629779140606,215
1340000,8619.999999749658,-438378.50750571606,310.4909883238252,215
1350000,8649.99999975577,-439240.91760622524,310.3381347207086,215
1360000,8679.999999761882,-438169.58401536336,309.13520090279707,215
1370000,8709.999999767993,-438540.5268836655,311.1204859860176,215
1380000,8739.999999774105,-438838.80303600314,314.2866351601948,215
1390000,8769.999999780217,-438869.12069368525,311.2556353743988,215
1400000,8799.999999786329,-439042.07000154024,311.90823065729535,215
1410000,8829.99999979244,-439787.0839345115,308.7784254253829,215
1420000,8859.999999798552,-438142.28367637633,312.3287433035421,215
1430000,8889.999999804664,-438509.94554428314,310.4305365503942,215
1440000,8919.999999810776,-439256.1672470977,313.4954275370938,215
1450000,8949.999999816888,-437312.1677829032,309.8237402060452,215
1460000,8979.999999823,-438268.70193667826,312.31417406106954,215
1470000,9009.999999829111,-439456.3232896128,311.2422651911646,215
1480000,9039.999999835223,-439303.88829162274,309.97351406230706,215
1490000,9069.999999841335,-437614.4157767126,309.5103792292607,215
1500000,9099.999999847447,-440037.1968432802,308.05572677662906,215
1510000,9129.999999853559,-438965.1360888444,308.0632422557759,215
1520000,9159.99999985967,-437385.8599486998,311.4533874485055,215
1530000,9189.999999865782,-439258.36400723876,309.8567707908826,215
1540000,9219.999999871894,-438532.64584364486,310.9754217181209,215
1550000,9249.999999878006,-438745.11233269516,306.6473967695251,215
1560000,9279.999999884118,-438141.6629346218,309.6298409931951,215
1570000,9309.99999989023,-437019.5008561923,310.5645098198056,215
1580000,9339.999999896341,-438905.5029728275,311.28212049544567,215
1590000,9369.999999902453,-439342.8434843486,311.40621119031476,215
1600000,9399.999999908565,-438551.1019126184,309.9841025201919,215
1610000,9429.999999914677,-438330.921500565,309.5352593194602,215
1620000,9459.999999920788,-440238.067494449,308.4200100730173,215
1630000,9489.9999999269,-437625.82020964194,308.185695812091,215
1640000,9519.999999933012,-438439.51226400374,312.022452427781,215
1650000,9549.999999939124,-437952.0322833627,311.73591721945064,215
1660000,9579.999999945236,-438416.4317865884,311.7682291279359,215
1670000,9609.999999951347,-439683.5657714782,312.22731916116135,215
1680000,9639.99999995746,-438833.8453529903,307.86597184200826,215
1690000,9669.999999963571,-438201.7115277264,310.4838592269715,215
1700000,9699.999999969683,-438184.1056784929,310.2180339353665,215
1710000,9729.999999975795,-439039.8339950221,309.676490100539,215
1720000,9759.999999981907,-439860.38795329677,310.8150344112848,215
1730000,9789.999999988018,-438996.1765776137,310.93400109657404,215
1740000,9819.99999999413,-438057.1389906951,309.4141898413059,215
1750000,9850.000000000242,-438202.55468269764,309.61396152051935,215
1760000,9880.000000006354,-438404.6483292314,308.5561133769407,215
1770000,9910.000000012466,-439897.19708690187,307.5733146990111,215
1780000,9940.000000018577,-438940.83647849225,312.48209094393815,215
1790000,9970.00000002469,-438862.4586413675,312.3286395464054,215
1800000,10000.000000030801,-437824.7489280142,310.33383271394246,215
1810000,10030.000000036913,-438745.46888596285,312.47673499535904,215
1820000,10060.000000043025,-436473.3183280162,308.67245065354115,215
1830000,10090.000000049136,-439231.0992269567,312.3171821989012,215
1840000,10120.000000055248,-439395.6375428699,308.6838949787297,215
1850000,10150.00000006136,-436891.77324979915,310.3679518741058,215
1860000,10180.000000067472,-438228.3187620237,307.79897327196795,215
1870000,10210.000000073584,-438108.16139267245,311.35160913411096,215
1880000,10240.000000079695,-437665.5730358476,310.84804856636947,215
1890000,10270.000000085807,-440441.842713034,310.8014086139312,215
1900000,10300.000000091919,-438782.459198599,311.5909382670743,215
1910000,10330.00000009803,-438428.9242813946,311.9688263982787,215
1920000,10360.000000104143,-439367.7209096728,312.23758072134655,215
1930000,10390.000000110254,-439637.46795526263,308.2553431050434,215
1940000,10420.000000116366,-437770.8183689839,308.20303478043706,215
1950000,10450.000000122478,-439790.1080272796,309.84462065304035,215
1960000,10480.00000012859,-437847.207782472,310.5032206454652,215
1970000,10510.000000134702,-438167.6703338984,311.68496268517714,215
1980000,10540.000000140813,-438169.55117559596,308.20234246254813,215
1990000,10570.000000146925,-439528.5881624869,312.31941796289243,215
2000000,10600.000000153037,-439348.20100104436,312.3997142789457,215
2010000,10630.000000159149,-438932.40861840104,311.37899963968056,215
2020000,10660.00000016526,-439713.31140193855,311.2213635103061,215
2030000,10690.000000171372,-438911.3644578934,309.62571328425605,215
2040000,10720.000000177484,-439039.52950066817,310.52770674046224,215
2050000,10750.000000183596,-438788.20409593056,310.7569492512199,215
2060000,10780.000000189708,-436749.10828884644,312.83196426649175,215
2070000,10810.00000019582,-439693.38577939966,308.6912605781028,215
2080000,10840.000000201931,-439906.4348150955,310.53997475053706,215
2090000,10870.000000208043,-440079.79686482647,312.5046470442216,215
2100000,10900.000000214155,-437428.27127935854,311.76230465226587,215
