#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10000,4630.000000016661,-437296.4478153738,309.32610137974746,0
20000,4660.000000013678,-437509.35256163287,312.77382919205866,218
30000,4690.000000010695,-437346.670514663,310.90516954211955,218
40000,4720.000000007712,-438098.1865335847,306.7909851462652,218
50000,4750.0000000047285,-437636.55121434387,309.7041579119987,217
60000,4780.000000001745,-436852.75031348737,309.5944899599636,217
70000,4809.999999998762,-437490.2341858153,308.9817681746594,217
80000,4839.999999995779,-437756.40550846374,310.5563231249568,217
90000,4869.999999992796,-437292.80588696944,311.16544656849595,217
100000,4899.999999989813,-439295.53649189183,310.55115736843817,217
110000,4929.99999998683,-437607.9449681863,309.0559545773742,217
120000,4959.9999999838465,-437674.8293215779,308.73072699895476,217
130000,4989.999999980863,-437565.8930941536,310.9730588803776,217
140000,5019.99999997788,-438052.5375015817,307.77304464003294,217
150000,5049.999999974897,-439045.2797285791,309.8335172023447,217
160000,5079.999999971914,-438991.5780784064,311.1831292564121,217
170000,5109.999999968931,-439626.5535179705,309.91269789483465,217
180000,5139.999999965948,-437749.6623264761,310.386690309311,217
190000,5169.9999999629645,-438642.95479851216,311.70713994950626,217
200000,5199.999999959981,-438145.6147785322,309.155633177616,216
210000,5229.999999956998,-438837.10170307173,308.629459392783,216
220000,5259.999999954015,-438243.90435561654,310.89470789029764,216
230000,5289.999999951032,-438685.2325285042,311.5246156581319,216
240000,5319.999999948049,-438175.1895313957,312.6054314770524,216
250000,5349.999999945066,-437114.24055225705,312.241281383973,216
260000,5379.9999999420825,-439382.42518102215,310.41417827068904,216
270000,5409.999999939099,-436859.25899999077,309.6288638152267,216
280000,5439.999999936116,-437847.1238972035,309.9749071088263,216
290000,5469.999999933133,-437670.1874320926,310.1383054742848,216
300000,5499.99999993015,-438735.3322486307,310.9016473771492,216
310000,5529.999999927167,-437354.1010000829,308.28458267708095,216
320000,5559.999999924184,-437699.21908840165,313.03432897830197,216
