#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10000,4630.000000016661,-437018.99514997145,313.0456184568767,0
20000,4660.000000013678,-437610.108082514,310.45920559644753,218
30000,4690.000000010695,-437336.57745134877,309.87927355848143,218
40000,4720.000000007712,-436069.654426845,310.5487698974697,218
50000,4750.0000000047285,-438063.2608625586,308.0583523454044,217
60000,4780.000000001745,-437083.3728411305,310.9798737962914,217
70000,4809.999999998762,-438328.06235711975,312.4857723159882,217
80000,4839.999999995779,-437050.10640577483,313.4902464912227,217
90000,4869.999999992796,-438365.8969203301,308.98096234401544,217
100000,4899.999999989813,-436744.94399792724,311.2642310479777,217
110000,4929.99999998683,-437123.53757233964,312.7872832981828,217
120000,4959.9999999838465,-437827.8541948267,311.69177874744634,217
130000,4989.999999980863,-436697.2269111995,308.8796291544959,217
140000,5019.99999997788,-437194.7145282673,309.76501550467276,217
150000,5049.999999974897,-437270.0149480342,310.2604612638302,217
160000,5079.999999971914,-437137.07432864094,308.607614714104,217
170000,5109.999999968931,-436361.07665807987,309.53981068497535,217
180000,5139.999999965948,-436468.127504145,311.2987657857586,217
190000,5169.9999999629645,-437897.80176686915,311.0026253354656,217
200000,5199.999999959981,-436098.708368815,311.50649329852774,217
210000,5229.999999956998,-437971.97007212345,310.70817957503925,217
220000,5259.999999954015,-436641.41885254043,309.9493181161593,217
230000,5289.999999951032,-437120.1767537475,311.1623604315052,217
240000,5319.999999948049,-437870.18876911653,311.8749052623952,217
250000,5349.999999945066,-437492.8076113281,309.6585416681114,217
260000,5379.9999999420825,-437237.8014345993,309.3879161473044,217
270000,5409.999999939099,-436753.1902613118,309.86264010158584,217
280000,5439.999999936116,-437717.5319878999,312.36239096934986,217
290000,5469.999999933133,-438031.83035409986,313.1014880055355,217
300000,5499.99999993015,-437532.30453951634,309.07033379174334,217
310000,5529.999999927167,-437319.9615169696,311.03022338849615,217
320000,5559.999999924184,-437498.7333584714,313.3171089159232,217
330000,5589.9999999212005,-437348.0804439399,310.5332192113559,217
340000,5619.999999918217,-436650.978479641,312.4019503705283,217
350000,5649.999999915234,-438529.8781831295,310.5380324135829,216
360000,5679.999999912251,-437522.7909454119,308.402468766214,216
370000,5709.999999909268,-437378.8098909552,312.92182006974167,216
380000,5739.999999906285,-436709.958720081,311.80119908066666,217
390000,5769.999999903302,-438376.4595025745,311.42817837807087,216
400000,5799.9999999003185,-438827.31293996284,312.3247624977773,216
410000,5829.999999897335,-437968.0676593443,310.70938512337466,216
420000,5859.999999894352,-438844.46306372667,308.3214736815756,216
430000,5889.999999891369,-438868.72741547367,311.647834567061,216
440000,5919.999999888386,-437625.6461225541,310.179553704391,216
