#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10000,4830.000000015086,-429658.8278057552,323.29866009717347,0
20000,4860.000000012103,-429401.76310868026,321.80429263005794,218
30000,4890.0000000091195,-431562.80086389836,324.4326295496292,218
40000,4920.000000006136,-430281.9057282156,324.9692188679784,218
50000,4950.000000003153,-429443.8349950614,323.6589569614017,217
60000,4980.00000000017,-429421.08942641946,323.2539447973782,217
70000,5009.999999997187,-428587.25040781964,323.3071693423442,217
80000,5039.999999994204,-430331.43654263834,322.875728894459,217
90000,5069.999999991221,-428645.21250353125,324.8531547953593,217
100000,5099.9999999882375,-429825.2606263354,324.0286045369416,217
110000,5129.999999985254,-428897.5347874719,323.3534237691115,217
120000,5159.999999982271,-429897.2734062292,325.7181420323162,217
130000,5189.999999979288,-429961.687006257,326.2377349364492,217
140000,5219.999999976305,-429606.443868635,324.9563813723408,217
150000,5249.999999973322,-429150.9164979055,323.4067239377945,217
160000,5279.999999970339,-429783.1031713241,322.4798753817,217
170000,5309.9999999673555,-429181.6875635034,324.2451787649546,217
180000,5339.999999964372,-429786.71349523636,326.3480827168581,217
190000,5369.999999961389,-429916.6711042272,326.1114005275199,217
200000,5399.999999958406,-430109.34293764574,321.58899746960117,217
210000,5429.999999955423,-430438.63320324756,320.56940389071167,217
220000,5459.99999995244,-429110.0700406311,320.39146082841603,217
230000,5489.999999949457,-430301.06544681964,324.17130932347027,217
240000,5519.9999999464735,-430831.75428597466,324.70212157083375,217
250000,5549.99999994349,-430789.2893684278,323.7440075017973,217
260000,5579.999999940507,-430259.7674812984,326.12622139394523,217
270000,5609.999999937524,-430186.88807640923,326.3287645635168,217
280000,5639.999999934541,-429245.8936262124,321.7886306812188,217
290000,5669.999999931558,-429692.81946350634,325.46028198979053,217
300000,5699.999999928575,-430220.88411514205,328.1624021762873,217
310000,5729.9999999255915,-431963.2003763295,322.0962505052433,217
320000,5759.999999922608,-429400.8073501906,324.7338026542191,217
330000,5789.999999919625,-428669.3080646009,322.4948308419037,217
340000,5819.999999916642,-429867.488874014,326.3685293909894,217
350000,5849.999999913659,-429822.4202973237,322.16831507833075,217
360000,5879.999999910676,-429305.4858821691,327.86895848436575,217
370000,5909.999999907693,-431668.7466400459,323.9787509030833,217
380000,5939.9999999047095,-429996.43937227037,324.23853115730407,217
390000,5969.999999901726,-430217.8923670745,324.69772652807154,217
400000,5999.999999898743,-429180.3702202614,322.81425571526154,217
410000,6029.99999989576,-431023.0291663429,322.15471819878,217
420000,6059.999999892777,-431186.5485679228,325.08975350634597,217
430000,6089.999999889794,-429631.71077517024,319.91706236005285,217
440000,6119.999999886811,-430344.57639892586,324.6191176457295,217
450000,6149.9999998838275,-430584.59769952367,321.53082489428334,217
460000,6179.999999880844,-430210.53350476804,327.29195097530373,217
470000,6209.999999877861,-430557.8670636632,324.8919547023555,217
480000,6239.999999874878,-430232.0748740793,325.7994359969917,217
490000,6269.999999871895,-429644.12234402564,321.9058631419948,217
500000,6299.999999868912,-428953.6942023684,321.83094683343444,217
510000,6329.999999865929,-430094.03664896335,323.70372973486025,217
520000,6359.9999998629455,-429958.7639963322,324.4749626860795,217
530000,6389.999999859962,-429587.3255221541,325.8467465375544,217
540000,6419.999999856979,-430242.66973674344,322.79061090206045,217
550000,6449.999999853996,-430931.472301984,323.34608120109954,217
560000,6479.999999851013,-430162.9561336618,322.72776802166095,217
570000,6509.99999984803,-429919.97243547393,324.80732383405814,217
580000,6539.999999845047,-430036.3868595059,323.12775374890833,217
590000,6569.9999998420635,-430609.67671406874,323.34414886358735,217
600000,6599.99999983908,-429952.4400559766,321.26227019418934,217
610000,6629.999999836097,-429445.23222108185,323.2585296235852,217
620000,6659.999999833114,-430543.0584040419,322.4568657383892,217
630000,6689.999999830131,-429935.96116451174,322.86454735592014,217
640000,6719.999999827148,-431196.4774257345,323.01768106792457,217
650000,6749.999999824165,-431104.3282137008,322.6863010932842,217
