#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10000,4830.000000015086,-429914.78928640625,325.47568361587133,0
20000,4860.000000012103,-430790.6628623842,321.389848018887,218
30000,4890.0000000091195,-429684.5383239214,321.55230564009577,218
40000,4920.000000006136,-431059.58561867476,324.3158084166467,217
50000,4950.000000003153,-431356.0320971117,321.3083791064388,217
60000,4980.00000000017,-430863.7353877011,323.489751980166,217
70000,5009.999999997187,-430171.30060244654,324.3433083395864,217
80000,5039.999999994204,-430234.0909621336,323.821091309635,216
90000,5069.999999991221,-429777.27020530053,323.7827804909253,216
100000,5099.9999999882375,-430539.9927545048,323.62965752634153,216
110000,5129.999999985254,-430006.094703875,321.8746407682733,216
120000,5159.999999982271,-429119.2079845336,322.85799497437307,216
130000,5189.999999979288,-429208.02061240445,321.6666195123878,216
140000,5219.999999976305,-429682.4998685084,325.3741161455708,216
150000,5249.999999973322,-430352.79772239807,323.5769450649604,216
160000,5279.999999970339,-429560.70479559526,324.3528272436169,216
170000,5309.9999999673555,-430818.04914825596,324.50271002880146,216
180000,5339.999999964372,-429644.3178652935,322.3886138233553,216
190000,5369.999999961389,-430393.574386348,326.0117574870003,216
200000,5399.999999958406,-429708.4249082757,323.49197233911684,216
210000,5429.999999955423,-431504.22296162555,323.48038063994363,216
220000,5459.99999995244,-430671.12009033957,325.605537009075,216
230000,5489.999999949457,-429780.6503194482,321.2941851634923,216
240000,5519.9999999464735,-429849.04721138836,323.8218423234394,216
250000,5549.99999994349,-429522.1728707114,322.15840402331366,216
260000,5579.999999940507,-430043.77560190484,322.7085932610025,216
270000,5609.999999937524,-429424.6762608974,326.0791740372909,216
280000,5639.999999934541,-430508.24261083594,325.4800323678952,216
290000,5669.999999931558,-431200.9082331478,325.7562325807668,216
300000,5699.999999928575,-430380.7273128303,323.19735568327457,216
310000,5729.9999999255915,-429598.9155251328,321.9480584829027,216
