#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
1000,-373524.17278218176,313.03269236680194,0
2000,-381208.3333833262,311.2132965640091,160
3000,-383823.48698445386,312.1200825451761,160
4000,-387207.72421944933,312.6173073078278,160
5000,-389605.02044035704,310.60098669106617,160
6000,-391738.2027932557,311.4443479298481,160
7000,-393804.5662587469,315.2618953997947,159
8000,-394399.0380831908,308.6996887177651,159
9000,-396457.89418316376,309.6020751267453,159
10000,-396870.45787228434,315.04723813853093,159
11000,-397588.3460000602,311.12195307083783,159
12000,-397400.72752257064,312.7726101939624,159
13000,-399236.75523945293,311.8490605945928,159
14000,-400006.4835628648,311.4596324144666,159
15000,-400631.9653994872,310.93787042874976,159
16000,-400650.75670097163,310.7895352363698,158
17000,-401639.97497195774,313.55878709680644,158
18000,-400430.34339935496,313.4986030636019,158
19000,-401685.8827096226,310.291099788783,158
20000,-402890.0045020152,310.2060112906432,158
21000,-401261.9600076468,313.4485683443803,158
22000,-401638.2837951791,311.78874686120156,158
23000,-401749.7771469329,313.47795911656783,158
24000,-402688.26072236267,309.61921702806626,158
25000,-403202.98254900007,313.7652282834637,158
26000,-403815.66424898454,312.586964106357,158
27000,-404350.26692769,312.1856148633267,158
28000,-403838.73494627816,309.78706319260664,158
29000,-404905.0830960437,308.7590692545375,157
30000,-404074.82203436876,311.63800401037935,157
31000,-405615.46422631526,311.4269196234086,157
32000,-405777.97884574626,311.9966358104178,157
33000,-405872.82021879056,313.76620778378776,157
34000,-406761.674268069,311.25701163755986,157
35000,-406793.93348415056,314.8274875505064,157
36000,-405909.46498779254,312.1301852844996,157
37000,-408659.84140555304,311.25691655735636,157
38000,-407843.56399040157,312.64165771880596,157
39000,-408034.2181968619,311.6852673097065,157
40000,-408217.71272668475,312.5131340785212,157
41000,-409225.430226085,312.097996210065,156
42000,-409848.6530708694,312.2515898236619,156
43000,-411078.6668045162,308.36010782841646,156
44000,-411081.94534101896,312.55403001988043,156
45000,-411785.2669713893,312.55879005151735,156
46000,-412610.36819183547,310.2694989066308,156
47000,-412707.0232630065,309.31046448236174,156
48000,-413648.30508297775,311.69259373383716,156
49000,-412644.66292648064,308.3857707412345,156
50000,-412783.11880967394,312.01405044944016,156
51000,-413645.4660392408,310.77742747037064,156
52000,-414622.443774411,309.10907292349754,156
53000,-415866.43498444697,310.6836806066321,155
54000,-415258.4385091637,317.04146250466454,155
55000,-414335.60414057155,312.2400952905425,155
56000,-416956.4882465089,309.611035163226,155
57000,-416460.5714229089,308.90216129109587,155
58000,-415482.1344660595,310.9986697863679,155
59000,-416473.6229827234,308.2179875282777,155
60000,-417196.6980405017,311.0582636303512,155
61000,-417693.24913787167,309.91988651656555,155
62000,-417278.877149367,313.40962985170364,155
63000,-418376.58125912026,311.4579021359981,155
64000,-417900.28428573767,312.04421575156334,155
65000,-418382.55617811996,312.7549051429303,154
66000,-417527.24431011383,310.64774609658315,154
67000,-418958.9776370041,309.7784092370741,154
68000,-417549.15618844447,310.27270299774716,154
69000,-418620.80259499256,311.7714892154692,154
70000,-419255.9346043691,312.09279034930364,154
71000,-419164.86829767725,313.3873504287693,154
72000,-418840.38215098926,313.95781214143705,154
73000,-419110.0840996031,311.5023243110183,154
74000,-419043.1688947242,311.56414757756517,154
75000,-419394.08316737367,307.82105422862276,154
76000,-418991.4241227815,312.7895943106617,154
77000,-420324.86476149317,312.04062036247916,154
78000,-420477.5257182638,311.6251730172712,154
79000,-420925.006863005,309.80030931866287,153
80000,-420399.23504392314,313.45673419063655,153
81000,-420328.88397561014,312.75713439662957,153
82000,-420994.3782184676,310.5462816081951,153
83000,-421000.05186971836,312.6641600954016,153
84000,-421619.1683429503,309.4335605279603,153
85000,-421722.4345976163,309.59875496574125,153
86000,-422522.11713058176,313.78971808266135,153
87000,-421867.1990737065,310.9316408995369,153
88000,-422691.24174986966,310.31972415718866,153
89000,-421713.5711472633,312.7906362483458,153
90000,-422401.23511588224,312.8093884628114,153
91000,-423478.91290001967,310.16612832568154,153
92000,-422340.95559406443,312.5347771090647,153
93000,-422876.18774876045,311.5432755376497,153
94000,-423037.73046455183,310.62638241753643,153
95000,-422489.27127508586,311.17164908953924,153
96000,-423213.8828129594,310.75814731495495,153
97000,-422837.7174682282,310.26831167455094,153
98000,-423818.7882109205,311.52139305362886,152
99000,-424153.7912302378,312.0064287644462,152
100000,-424316.6018084206,312.9318447306586,152
101000,-424324.07877269364,308.4015828365374,152
102000,-423447.00014680764,309.7934831144258,152
103000,-424889.68566781585,313.28885663424643,152
104000,-423456.4048653208,312.1448230743804,152
105000,-424007.7434711654,311.88013274012224,152
106000,-424254.54675241024,312.29403478404595,152
107000,-423618.1248319864,313.02293526720325,152
108000,-424467.80824779905,310.53741188076935,152
109000,-425008.0500561672,312.574197508798,152
110000,-425120.7973099244,309.21016846772704,152
111000,-424709.8922530492,312.8791705047246,152
112000,-424897.6491932003,308.72883400619725,152
113000,-424889.32126325346,313.0655032631364,152
114000,-424748.98720896407,315.26150678454235,152
115000,-426308.51884515537,311.9265906644018,152
116000,-425312.56635476486,309.24237923789013,152
117000,-426553.33486115164,312.909291398614,152
118000,-426519.03973577684,311.7932681252767,152
119000,-426364.00959477224,313.4713422548448,152
120000,-426608.6123502322,310.3452823933558,152
121000,-426755.7755095253,308.38538690629895,152
122000,-426892.29653935274,312.09312269108926,152
123000,-426448.55924559943,310.5157260696358,152
124000,-427003.49718854367,311.07172137456973,152
125000,-426186.43081195233,312.7711990413656,151
126000,-426012.6868870477,309.1739349497667,151
127000,-426979.70109064155,310.1568408478488,151
128000,-426785.90522111324,310.1756501438084,151
129000,-427828.7233078985,310.0818339443059,151
130000,-427234.4711746124,311.3173368739391,151
131000,-426783.8779917946,308.2627438672621,151
132000,-426549.6345797838,311.47462193812345,151
133000,-425643.95491041406,313.2381663864365,151
134000,-427497.0808237484,312.47515369925276,151
135000,-426766.03739757626,310.9930348113463,151
136000,-427261.93317848,311.9855378020164,151
137000,-427782.0625476674,313.8445430958061,151
138000,-426320.0999552063,308.34351218194445,151
139000,-427537.9741454818,313.9023787977737,151
140000,-427778.2724814988,310.7755219456123,151
141000,-427500.58313856134,313.0137964654089,151
142000,-427295.8526819602,310.2587854541786,151
143000,-426883.6096403613,310.32938605392155,151
144000,-427699.0239079136,310.68891178382677,151
145000,-427027.1029938664,310.5442677392796,151
146000,-427668.44596475945,310.73426526313307,151
147000,-426894.24950634595,311.6831697618327,151
148000,-428088.350820591,313.29726352576836,151
149000,-428740.27613896783,310.4593156091269,151
150000,-427794.8665836367,311.045334197551,151
151000,-427451.56548857363,310.21772874425346,151
152000,-427328.70193108707,314.8915078793608,151
153000,-426781.14868604834,311.4649023114478,151
154000,-427168.26858795714,309.6451007007201,151
155000,-428251.75560712465,312.9946623050041,151
156000,-427568.27399800834,311.55328472951567,151
157000,-428095.2467710008,309.0042271445145,151
158000,-429288.5291940414,310.4775914616093,151
159000,-429211.5325777489,310.4962732703669,151
160000,-429164.569667808,311.36400684194194,151
161000,-427806.75708749564,312.3491087920942,151
162000,-427278.07706427085,311.2663108579361,151
163000,-427924.05899322196,312.55593624627653,151
164000,-428989.6809528563,311.37226150956155,151
165000,-428773.75412149355,311.6500306743082,151
166000,-428830.58124924987,309.4135107546544,151
167000,-428010.45267142425,312.8006902056283,151
168000,-428826.7226087868,308.79479760894156,151
169000,-429724.5968418019,312.7205127950041,151
170000,-428714.4485240765,310.7771672092237,151
171000,-428309.294321585,312.5913449698207,150
172000,-428395.5313509782,311.87732026522235,150
173000,-428405.242331045,309.9778788351611,150
174000,-428102.94390603784,313.37370473635065,150
175000,-428849.82003785786,309.9942739103464,150
176000,-428600.41973169846,312.64641937961113,150
177000,-427734.1568255422,312.66053765306526,150
178000,-427860.64245109586,311.54190766649526,150
179000,-429247.42172469385,310.57147171921844,150
180000,-429917.9988138622,312.08086071192713,150
181000,-428844.68198540015,310.5769062451052,150
182000,-429123.19738232275,313.43235765581596,150
183000,-428696.2335579302,310.2712760629295,150
184000,-429538.9211897445,313.8676253694347,150
185000,-428022.27103815414,312.9295374800046,150
186000,-428936.963544213,311.6961247300644,150
187000,-429928.9882767319,310.58328639159765,150
188000,-428731.8764172753,309.8461497296127,150
189000,-430089.19262296986,309.21909270322664,150
190000,-430132.37307139486,309.3954804175802,150
191000,-429381.2912215402,310.9094018116224,150
192000,-430661.8001043389,313.11240323189077,150
193000,-431046.2881837378,313.68041610820126,150
194000,-430566.95544231357,310.77383034716786,150
195000,-430186.7776104787,312.487134935135,150
196000,-429605.5166007958,312.2546609179373,150
197000,-430645.894137823,312.09845040780954,150
198000,-430139.5137234931,310.7210545964234,150
199000,-430488.6625381489,309.04350932904254,150
200000,-430171.78152600164,312.7866396373864,150
201000,-430915.39478239836,313.6285836035915,150
202000,-430167.5812127483,311.5344985159228,150
203000,-430198.7980269096,312.9232087076102,150
204000,-430404.1100092572,312.1737854239918,150
205000,-429829.62788988324,312.3424249039151,150
206000,-429481.9553106001,311.6139649205628,150
207000,-429594.7817398375,314.03882156906155,150
208000,-430011.2864558378,308.1869257119896,150
209000,-430556.7111489617,311.90044585767095,150
210000,-429358.97426525666,314.05748588790823,150
211000,-430028.4487806482,310.6126506743362,150
212000,-430279.45806044154,310.8975152153943,150
213000,-429515.77866559615,310.03286684546373,150
214000,-431160.79125912534,310.56503440386814,150
215000,-430286.61879102304,312.0264750191229,150
216000,-431548.03739000414,312.61254703272584,150
217000,-430288.10157297645,308.8421284334167,150
218000,-430342.1569876289,310.048160252933,150
219000,-430186.38681997824,312.8306339061282,150
220000,-429140.0295019741,314.1254394817895,150
221000,-430800.31445294875,315.6303408341798,150
222000,-430985.68416408217,308.9310957432898,150
223000,-429365.013179576,311.70575771334785,150
224000,-430886.5535467467,309.82528163624465,150
225000,-428875.4959301136,310.3800799152792,150
226000,-430323.13026109943,310.0617400917853,150
227000,-429021.0425085444,311.4293179773227,150
228000,-431106.50033976114,313.0859590611614,150
229000,-430250.8920202479,312.6944551346646,150
230000,-430736.39776132,310.9822734519575,150
231000,-431235.86145956,310.8590730545182,150
232000,-430945.13171680924,309.3985368562887,150
233000,-430561.50278060813,314.40162789274234,150
234000,-431277.92492246884,309.88440736583277,150
235000,-431575.63752433634,313.3409604553639,150
236000,-430600.7705403601,310.5577923936191,150
237000,-430898.31035780185,311.03161360319604,150
238000,-431215.6407584152,309.7978187381637,150
239000,-430079.1032436909,312.01348450882296,150
240000,-430839.513296674,311.8974822232449,150
241000,-431582.97443529847,311.203560978477,150
242000,-431334.1016334153,311.2377759447895,150
243000,-430510.4158592201,308.5886063926344,150
244000,-430559.06699155876,313.0033309767878,150
245000,-431755.25688432646,312.2071765852926,150
246000,-430454.5533155757,313.50790141860216,150
247000,-430732.792184609,312.38546420448705,150
248000,-430493.3282707182,311.25102967526266,150
249000,-430485.66882893513,310.4043923324837,150
250000,-430671.28849173826,313.5683332771768,150
251000,-431168.1211954795,312.20436942567085,150
252000,-431858.84245449724,310.5025220070577,150
253000,-432878.85616956605,311.98390931503593,150
254000,-431146.0023991552,310.30440846858755,150
255000,-432703.9950464349,312.51733200763346,150
256000,-432523.13889291906,314.47415723295154,150
257000,-431038.4049234635,310.98100795377593,150
258000,-431261.49317048374,311.15378674854753,150
259000,-431186.709919584,311.845217001286,150
260000,-431374.31662236736,313.1250113717863,150
261000,-431161.94176821527,310.2598722317342,150
262000,-432198.4131980634,313.5970409731419,150
263000,-432417.5972884225,314.45383021297283,150
264000,-432243.6773544133,312.0241666008628,150
265000,-431373.4650750058,311.01822594493694,150
266000,-431417.43102758634,310.5966682229614,150
267000,-431938.4658432014,310.37259630943663,150
268000,-432086.0087732598,313.0024983590618,150
269000,-432001.65004379675,314.2280517318333,150
270000,-431656.69604698964,311.3013561591965,150
271000,-432673.40903697396,310.3951848162567,149
272000,-432002.1765316159,312.4639484871575,149
273000,-431948.18775675655,312.63139090101515,149
274000,-432813.68263871805,311.45421729769754,149
275000,-432040.7205294538,312.74730782800947,149
276000,-431317.2697533169,311.18276497731523,149
277000,-432563.60619053803,311.9511026345081,149
278000,-432339.88809763594,313.04726422101555,149
279000,-432635.5622688723,312.3388655611028,149
280000,-432453.09639438265,312.6988327981645,149
281000,-432619.6179989937,309.1697317679042,149
282000,-432061.8498814299,311.2027756771824,149
283000,-431763.6572057989,310.9361706484482,149
284000,-432266.54416221683,312.8100317999483,149
285000,-431578.60503111477,309.284515243108,149
286000,-432409.86276535015,311.2531357561057,149
287000,-432526.74010102404,311.25350428921524,149
288000,-433277.66088068695,312.33695483570017,149
289000,-432874.6772340208,313.97792899186027,149
290000,-432728.87490301,309.42361807859675,149
291000,-432583.2467460679,311.8702029865125,149
292000,-432953.27703816025,309.33104163828557,149
293000,-433488.446777659,311.0434642621173,149
294000,-432280.568177602,313.08620860885253,149
295000,-433404.08855373296,311.8231497223923,149
296000,-433482.32477345946,309.84449149159514,149
297000,-433020.159974433,312.7656349519894,149
298000,-434078.49042609474,310.84308379224086,149
299000,-433418.3153069229,311.7034045575102,149
300000,-433191.0883362591,309.5982185066303,149
301000,-432772.274880243,314.11912769801404,149
302000,-432801.1170291363,312.13261257755386,149
303000,-432488.4945817834,311.5885171472199,149
304000,-432141.96894949395,312.35591817617353,149
305000,-432038.2131052052,311.6862913566498,149
306000,-432451.53155109286,311.000709325129,149
307000,-433183.1937596593,312.2530547439835,149
308000,-433498.6253872006,308.24017119663716,149
309000,-433551.2273329939,312.3595894290226,149
310000,-432958.203044354,311.02042826045533,149
311000,-433344.2336277305,311.69186096425057,149
312000,-432826.99003099813,311.3815113770122,149
313000,-433495.3690530446,313.6324912123013,149
314000,-433251.9396718573,312.0685081439796,149
315000,-433578.02697007684,310.6214130986445,149
316000,-434490.4182994268,310.33569206831726,149
317000,-433009.97903208924,312.66614564496246,149
318000,-433167.5467226363,311.10623011099335,149
319000,-433892.85335979494,310.203267713433,149
320000,-433814.6820364387,312.85700582116243,149
321000,-433486.6094668866,306.6971504484262,149
322000,-435182.997449351,308.3122561236839,149
323000,-434272.22759567155,311.65149722350475,149
324000,-433743.48275232385,311.5451769340779,149
325000,-433589.13898012415,311.0288219294789,149
326000,-432896.3005932006,309.2359014547541,149
327000,-433966.4512826463,313.7892081797501,149
328000,-433836.4535875486,311.494060489009,149
329000,-434395.46175153414,310.5221724587302,149
330000,-434492.67851969926,310.316962857575,149
331000,-435273.99656278803,313.1210047566166,149
332000,-434014.2673443856,310.4719199421534,149
333000,-434007.6844829235,310.4148168932502,149
334000,-434477.8425503322,311.07164057931703,149
335000,-434271.3538660349,310.36249003207917,149
336000,-434009.3074863809,312.30037459299706,149
337000,-433557.2611349111,308.87310980715,149
338000,-434678.5283940532,312.32397464744537,149
339000,-433556.1156884071,311.1036388770084,149
340000,-433674.1019178685,311.3521167746519,149
341000,-434021.44612989086,310.68986595389276,149
342000,-434710.92955428734,311.36775683639866,149
343000,-434092.76436634455,310.5972988820113,149
344000,-433401.56400968647,309.26257982440393,149
345000,-432881.81633765996,310.5818275917833,149
346000,-433022.66118996986,310.9362312066902,149
347000,-433540.06338979234,314.22930940312784,149
348000,-431798.8277960287,312.13046349248845,149
349000,-433255.13020598143,312.80592486686953,149
350000,-433128.08750385116,312.3950813143195,149
351000,-434555.6737517,312.1103401415739,149
352000,-434719.65397054143,312.8263477181869,149
353000,-433562.12644975167,307.6622525585178,149
354000,-434515.498017716,311.67726801062577,149
355000,-433102.5337755303,311.6672133554699,149
356000,-433550.2544025236,311.98401177175725,149
357000,-433780.4113543832,310.9016987313749,149
358000,-432881.5192918456,311.61658189021034,149
359000,-434054.0192458383,312.68790269804504,149
360000,-434155.27991958614,310.9247643187365,149
361000,-434269.1786076641,312.3343743980759,149
362000,-433097.6586690326,312.06056233726144,149
363000,-434114.4341146769,312.02760054053874,149
364000,-433351.620387767,310.101273047237,149
365000,-434188.26057924144,309.32231524582517,149
366000,-433563.1397062291,311.3070141698162,149
367000,-433206.4680347815,309.9386677299538,149
368000,-434561.94124290626,312.7534738276219,149
369000,-434318.29914197326,309.2380989744455,149
370000,-434499.1743335817,313.83941283350526,149
371000,-432753.17893711454,310.8413308757636,149
372000,-434185.2196114117,310.1397154278528,149
373000,-435149.8480815741,312.74789137788224,149
374000,-434237.2498492419,312.08686770294076,149
375000,-434745.6171669122,312.21107545187954,149
376000,-433851.54100490035,311.1459467116195,149
377000,-434771.38867635024,311.1188931191039,149
378000,-434746.8024599692,311.0871420491571,149
379000,-434701.5772865631,311.462661706201,149
380000,-432575.1566230878,309.8333880899644,149
381000,-433435.71152964,311.918853387555,149
382000,-433033.0672513989,310.87619358696844,149
383000,-433944.00247766124,312.9031784464122,149
384000,-433398.9543407948,310.27623907187206,149
385000,-434110.0388132287,313.42950259847385,149
386000,-434774.41033227113,309.06911152897493,149
387000,-434548.9159878965,309.50424495347494,149
388000,-434867.7057561984,310.434058199302,149
389000,-434643.61833956465,307.9144519077005,149
390000,-435418.3869544801,308.1330183051791,149
391000,-433063.34206954204,313.72086769751445,149
392000,-435280.749755583,310.5311475937802,149
393000,-434478.3980457466,313.1034064764698,149
394000,-434230.6593461931,311.80867641246016,149
395000,-433237.0996190184,310.7715824306551,149
396000,-433133.7136806105,311.1027133550626,149
397000,-435015.04282593774,311.5944502727378,149
398000,-434281.2597240135,312.69069616444057,149
399000,-435168.8497733574,309.2701499311692,149
400000,-434879.88885398954,312.8474031770845,149
401000,-432606.89350854396,312.3944302764006,149
402000,-434968.7870282058,310.20136915647856,149
403000,-435056.50698539964,309.32063377404637,149
404000,-435023.8464990915,310.79551995627105,149
405000,-434965.13527359744,312.2001251979389,149
406000,-434396.7619279956,310.3641282723672,149
407000,-435225.836770423,310.5695210883402,149
408000,-434788.68806413794,308.8755068294777,149
409000,-434988.6270201197,310.54006344079727,149
410000,-434810.26832019584,313.66547152845715,149
411000,-434757.6434620144,311.4589727739229,149
412000,-434237.1162877318,311.78436418988446,149
413000,-433617.3637238764,310.32361050345605,149
414000,-434338.2342879479,310.3068059299326,149
415000,-433737.47498210566,313.7997836391613,149
416000,-433629.37859673076,309.8961269032685,149
417000,-435005.9160645164,310.19050554772383,149
418000,-433222.98251175624,309.7220428787964,149
419000,-434459.7584222385,311.2468277956398,149
420000,-434535.2664857025,309.84909898201494,149
421000,-434760.0149124358,313.5450586689931,149
422000,-436021.43876132206,313.9109771174473,149
423000,-434523.8956352344,310.22336962827336,149
424000,-433857.7781004566,311.0969642323808,149
425000,-434791.8489317773,315.165373319438,149
426000,-435275.82933015143,311.98142053844236,149
427000,-434240.95939079067,312.2462681837825,149
428000,-434178.88113837224,311.86285698536346,149
429000,-433781.2051558269,310.4404394921989,149
430000,-434310.6073625742,310.21001653837885,149
431000,-433949.67710751086,312.21460685819306,149
432000,-434384.43734554644,312.47030427266236,149
433000,-433098.8159089063,309.7816024204018,149
434000,-434334.40311159356,311.17683649541567,149
435000,-434034.3304628704,306.5952292195895,149
436000,-435828.7369811095,308.16821425935666,149
437000,-435124.87294791825,312.1961000016522,149
438000,-433392.34640064393,309.3630261331495,149
439000,-433668.36370361364,311.4408255002485,149
440000,-434946.77603983576,310.52374626230795,149
441000,-434471.4594365575,311.5874628127664,149
442000,-434605.473033146,308.7168298917519,149
443000,-433328.05011890014,309.5208078871271,149
444000,-433466.78789121704,310.296022380747,149
445000,-433690.55793188815,310.3409963995592,149
446000,-435100.96287989244,311.098793696898,149
447000,-433967.0756424293,311.4612535291421,149
