#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
1000,-372733.4341480839,312.69976238385465,0
2000,-380100.33635778655,310.61210491713086,161
3000,-383913.1085607612,313.4253843590478,160
4000,-387341.66556039336,310.0511233862758,160
5000,-389799.89886368974,313.2947020274867,160
6000,-391209.48564991704,310.39976095414187,160
7000,-393553.2815685733,312.56686294050365,160
8000,-393894.409026654,310.9256071745463,160
9000,-394981.12099086517,311.49524043000065,160
10000,-394936.175553113,308.26317714844197,159
11000,-397409.4349494602,312.73784630091035,159
12000,-397171.86202445324,315.66660358027536,159
13000,-397231.99724830897,313.94757918017433,159
14000,-400198.7513791432,308.053912126433,159
15000,-400311.82259939495,308.78549796027136,159
16000,-398635.63421411,309.965975627325,159
17000,-400258.05439256434,314.40791887643206,159
18000,-398790.4675161834,312.0024714661148,159
19000,-400681.05045357323,310.80731133690216,159
20000,-401944.7371007984,313.5087750283927,159
21000,-401616.5107969076,311.81553315786,158
22000,-401757.77910893364,310.95636061654415,158
23000,-401143.7302289079,311.59779416202366,158
24000,-402779.3448753976,310.67891298531987,158
25000,-404227.255034606,311.5814614031683,158
26000,-403389.9979910308,311.0113385311184,158
27000,-404678.5255920887,310.2008638753806,158
28000,-404833.87144772103,310.86142370910386,158
29000,-404672.37304796954,309.62253787541783,158
30000,-405157.93101124815,310.5695162668441,158
31000,-405676.0295516646,312.0671986274948,158
32000,-404377.71736524394,311.6573931858176,158
33000,-406023.657671571,311.41153868188894,157
34000,-404784.9163916684,311.8096907735685,157
35000,-404304.94597638934,313.3421881527866,157
36000,-405011.7391905205,312.9565016536872,157
37000,-407310.19226891594,311.8946382473724,157
38000,-407631.29124562,309.87653912633505,157
39000,-406885.22243845137,311.37349045037143,157
40000,-407186.63667256664,313.6994104698622,157
41000,-407744.1744570839,312.363982686,157
42000,-407685.96114698984,308.943792794964,157
43000,-408976.0188576146,309.7557622993889,157
44000,-409406.4049830546,311.93511746168923,157
45000,-410746.6534882926,310.9023944225089,157
46000,-411073.94599868124,310.0694607582981,156
47000,-410863.30409961636,313.45266930062195,156
48000,-412892.58072417486,310.2112069703824,156
49000,-413902.62675396935,310.47267007685184,156
50000,-413709.0042764733,312.1002023951491,156
51000,-413818.384105226,311.36018599474136,156
52000,-414673.40237759124,313.0521811005301,156
53000,-412788.0192928447,312.08200500140333,156
54000,-414129.6478385674,311.1272092468797,156
55000,-415876.32245634566,314.5386951819115,156
56000,-416064.2842752631,311.344807862747,156
57000,-415552.3820000463,313.5776139414584,156
58000,-415254.3587491957,310.8945173244214,155
59000,-414899.11906317086,308.72228884804576,155
60000,-416019.6656032556,312.3917494321351,155
61000,-418402.29664653796,311.3592623823301,155
62000,-416997.8617792616,309.8526009079313,155
63000,-417455.9073521574,311.2579709214141,155
64000,-418178.3420493989,311.7253275607084,155
65000,-418559.0613267403,311.623039096703,155
66000,-418140.50490378635,312.0179092116975,155
67000,-417767.47164875106,314.322937317259,155
68000,-419799.4993825797,311.0070137696552,155
