#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
1000,-372225.75537988264,310.6709227399533,0
2000,-379921.84895854234,312.12454629604645,160
3000,-385052.8920621793,311.52853759505206,160
4000,-386478.69827751815,311.65190858323933,160
5000,-389835.907273907,307.71147212307494,160
6000,-390695.6611553794,312.2003136282864,160
7000,-392934.4134433188,315.777738488347,160
8000,-393929.9686684138,311.5726293654358,159
9000,-395917.3222515322,310.97659895312347,159
10000,-395853.76149573503,309.53615949138634,159
11000,-397089.9424461019,311.1303128966136,159
12000,-397752.8835789729,310.33716059924814,159
13000,-396933.2744714611,310.2550041498445,159
14000,-397714.2451393623,308.77304833044565,159
15000,-399595.34164261585,309.9770446710473,159
16000,-399192.9876885782,313.12351267424765,159
17000,-400179.510655005,311.91015094713924,159
18000,-400796.5557929112,309.7124992810005,158
19000,-401637.4527774253,314.6689625754517,158
20000,-401848.5413133034,313.0328655197161,158
21000,-401876.163615474,312.42888941929954,158
22000,-402260.7455268521,309.61915538699134,158
23000,-402758.77649961086,312.5064367093162,158
24000,-401508.85091697983,311.0626551371102,158
25000,-403178.60224141576,310.43180382494495,158
26000,-403666.00423420756,312.47988298468465,158
27000,-403688.2409143667,312.55752403435383,158
28000,-404331.578305918,310.938785157971,158
29000,-404306.7513942057,312.08847393777967,158
30000,-405868.4008391183,310.48460638061334,157
31000,-404864.65222484316,312.5722431463964,157
32000,-404422.25052266987,311.377527317332,157
33000,-406200.66164767975,308.3483880928233,157
34000,-405360.1619323646,313.0464978480172,157
35000,-405988.628028841,311.32792960965355,157
36000,-405739.88362866314,311.66705684224837,157
37000,-406667.28432653914,310.43601853649824,157
38000,-407108.6315990691,311.9666541995221,157
39000,-407747.25809610356,311.2766394753523,157
40000,-407113.1611989089,310.37472147626977,157
41000,-408353.67576593696,311.89758127633706,157
42000,-408412.9617810971,310.4264425432829,156
43000,-410054.4257924515,310.28059981987764,156
44000,-409356.0335393816,312.6873115369468,156
45000,-410868.87289594,310.1115342596006,156
46000,-410577.16771086375,307.2040387921694,156
47000,-410502.9959018084,311.2356890286617,156
48000,-411774.94904552936,312.07542818873446,156
49000,-412364.7137568395,311.77871820801084,156
50000,-413585.8168172012,310.2212087189844,156
51000,-414389.556223538,314.38003612880283,156
52000,-413281.6095459224,309.23467869681355,156
53000,-413716.54691286595,309.2828011871844,155
54000,-413763.36836169614,309.13287105088,155
55000,-414686.8383326521,310.77158315930023,155
56000,-416066.0071624946,309.6309357771687,155
57000,-416602.76167837786,311.13225612212767,155
58000,-417144.9949787564,309.44847485012224,155
59000,-416321.42086534994,314.39404820286586,155
60000,-416640.00630341726,310.5816718529285,155
61000,-417512.8254407244,314.24554923074606,155
62000,-417020.73587423586,311.4098343964691,155
63000,-416734.4623267988,310.46268930362436,155
64000,-417315.0748251446,310.42487602246683,155
65000,-418006.467064254,311.8034124546887,155
66000,-418390.22893962637,313.1240661602899,154
67000,-418740.3015061242,313.2632092135153,154
68000,-418682.6882038459,311.0595952342594,154
69000,-418585.8403349777,313.0916527852716,154
70000,-418560.461056367,313.10134189012456,154
71000,-418962.3233060085,312.05111250032223,154
72000,-418204.4292639203,310.17876107236697,154
73000,-418922.6658559339,313.39093164882354,154
74000,-419188.20450202003,309.2635125204701,154
75000,-420482.1821610655,311.40816398676156,154
76000,-419873.0024529123,313.22963373358454,154
77000,-419712.65662551904,314.2452658618981,154
78000,-420366.59946963517,308.57313804726107,154
79000,-420268.6247084192,311.5229815178992,154
80000,-421190.78099091747,312.34135584637295,154
81000,-421033.4722848893,313.010101649364,153
82000,-420867.9308161265,311.0357450675389,153
83000,-420345.7341844316,310.9483707118276,153
84000,-421423.5939674885,311.2368536342348,153
85000,-421793.86495258706,310.7406999179824,153
86000,-421701.11517976713,310.94970901758893,153
87000,-421724.2786594094,312.07189705638024,153
88000,-421733.0811978474,309.4967378556049,153
89000,-422882.1890732909,309.57416382032307,153
90000,-421961.15138502116,307.7875141917529,153
91000,-422812.4449649062,310.4916738037874,153
